LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,Defective
22,43,20,3,11,38,26,0.2,18,2.11,18,0.69,132,15,0.56,128,0,19,0.73,109.63,N
2,11,10,0,1,12,7,0.2,6,2.0,6,0.86,38,1,0.0,35,0,5,0.71,55.65,N
0,7,2,0,0,4,5,0.22,2,2.0,4,0.8,19,3,0.5,23,0,4,0.8,29.4,N
5,18,15,0,0,26,10,0.19,12,2.17,10,1.0,65,5,0.44,52,0,9,0.9,80.76,N
1,13,10,0,0,24,7,0.32,12,2.0,7,1.0,40,1,0.0,22,3,7,1.0,54.54,N
5,11,9,0,11,12,7,0.16,6,2.0,5,0.71,40,1,0.0,44,3,6,0.86,42.06,N
5,11,11,0,2,20,6,0.27,10,2.0,5,0.83,36,1,0.0,22,2,5,0.83,35.31,N
3,7,9,0,2,12,4,0.24,6,2.0,4,1.0,24,1,0.0,17,2,3,0.75,33.69,N
1,7,9,0,0,12,4,0.33,6,2.0,4,1.0,24,1,0.0,12,3,4,1.0,44.33,N
5,11,11,0,5,20,6,0.21,10,2.0,6,1.0,38,1,0.0,28,1,4,0.67,44.43,N
2,5,7,0,0,8,3,0.2,4,2.0,3,1.0,18,1,0.0,15,1,3,1.0,40.99,N
3,5,9,0,0,8,3,0.14,4,2.0,3,1.0,22,1,0.0,21,2,3,1.0,45.77,N
3,11,7,0,0,18,6,0.29,8,2.25,4,0.67,28,4,0.6,21,2,4,0.67,37.67,N
11,43,16,0,4,76,22,0.21,34,2.24,17,0.77,119,12,0.52,103,3,18,0.82,70.89,N
1,5,3,0,0,8,3,0.25,4,2.0,3,1.0,13,1,0.0,12,1,3,1.0,26.16,N
1,3,3,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,1,1,0.5,18.67,N
3,11,6,0,0,20,6,0.24,10,2.0,6,1.0,35,1,0.0,25,1,6,1.0,30.2,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,2,2,1.0,20.81,N
0,3,3,0,0,4,2,0.5,2,2.0,2,1.0,9,1,0.0,4,2,2,1.0,16.32,N
5,11,7,0,0,20,6,0.27,10,2.0,5,0.83,32,1,0.0,22,2,4,0.67,39.49,N
1,5,4,0,0,8,3,0.27,4,2.0,3,1.0,13,1,0.0,11,1,3,1.0,23.27,N
15,33,13,0,9,58,17,0.22,26,2.23,13,0.76,97,12,0.69,76,3,10,0.59,69.47,N
15,19,14,1,8,34,10,0.15,16,2.13,9,0.9,70,4,0.33,64,2,7,0.7,59.77,N
5,19,24,0,0,24,11,0.15,12,2.0,11,1.0,81,7,0.6,71,0,10,0.91,122.92,N
1,20,11,0,2,26,11,0.28,10,2.6,8,0.73,52,1,0.0,39,3,10,0.91,60.86,N
5,3,6,0,1,4,2,0.12,2,2.0,2,1.0,17,1,0.0,17,1,1,0.5,50.08,N
12,11,13,0,0,8,7,0.13,4,2.0,5,0.71,42,4,0.5,54,2,4,0.57,88.12,N
19,18,23,0,1,16,11,0.13,8,2.0,9,0.82,79,7,0.6,88,2,8,0.73,151.9,N
9,12,10,0,2,14,7,0.23,6,2.33,7,1.0,40,6,0.83,30,0,6,0.86,52.03,N
2,3,5,0,1,4,2,0.25,2,2.0,2,1.0,10,1,0.0,8,1,2,1.0,26.84,N
1,6,6,0,0,4,4,0.2,2,2.0,3,0.75,21,1,0.0,20,0,3,0.75,36.92,N
1,6,6,0,0,4,4,0.21,2,2.0,3,0.75,18,3,0.67,19,0,3,0.75,29.26,N
28,59,46,1,38,42,36,0.15,20,2.1,34,0.94,233,20,0.54,241,0,33,0.92,238.08,N
12,15,20,0,16,16,9,0.15,8,2.0,9,1.0,61,1,0.0,61,0,9,1.0,90.69,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,20.33,N
4,5,11,0,0,8,3,0.16,4,2.0,3,1.0,30,1,0.0,19,2,3,1.0,58.1,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,20.33,N
20,25,29,2,18,36,14,0.13,18,2.0,9,0.64,102,5,0.31,102,0,12,0.86,163.29,N
2,13,7,0,0,12,8,0.22,6,2.0,6,0.75,41,3,0.29,36,1,7,0.88,46.09,N
3,6,4,0,0,4,4,0.31,2,2.0,3,0.75,15,3,0.67,13,1,3,0.75,28.67,N
5,11,9,0,14,14,6,0.33,4,3.5,6,1.0,28,5,0.8,18,1,5,0.83,42.78,N
2,6,4,0,0,4,4,0.31,2,2.0,3,0.75,15,3,0.67,13,1,3,0.75,28.67,N
0,6,3,0,0,4,4,0.31,2,2.0,3,0.75,14,1,0.0,13,0,2,0.5,21.05,N
0,6,4,0,0,4,4,0.25,2,2.0,3,0.75,15,1,0.0,16,0,2,0.5,24.11,N
3,10,7,0,2,12,6,0.26,6,2.0,6,1.0,31,1,0.0,23,0,6,1.0,38.97,N
4,3,6,1,0,4,2,0.14,2,2.0,2,1.0,12,1,0.0,13,2,2,1.0,35.51,Y
11,40,18,9,12,58,22,0.19,28,2.07,19,0.86,138,15,0.67,105,0,19,0.86,75.75,Y
2,3,6,1,0,4,2,0.18,2,2.0,2,1.0,11,1,0.0,10,1,2,1.0,25.4,Y
10,13,17,2,6,12,8,0.19,6,2.0,6,0.75,47,5,0.57,41,1,6,0.75,99.17,Y
18,30,12,2,7,42,17,0.19,20,2.1,14,0.82,96,8,0.44,88,1,13,0.76,66.14,Y
0,5,8,1,1,6,3,0.18,2,3.0,3,1.0,19,3,1.0,16,1,3,1.0,27.98,Y
12,15,20,1,7,16,9,0.17,8,2.0,7,0.78,56,5,0.5,52,1,7,0.78,99.0,Y
7,6,14,0,0,4,4,0.17,2,2.0,4,1.0,26,1,0.0,23,2,4,1.0,68.58,Y
15,27,17,4,6,38,15,0.21,18,2.11,15,1.0,83,7,0.43,66,1,14,0.93,73.44,Y
4,8,9,0,3,8,5,0.19,4,2.0,2,0.4,28,1,0.0,27,0,4,0.8,63.88,Y
7,27,9,1,4,46,14,0.33,20,2.3,12,0.86,64,6,0.38,42,0,11,0.79,35.69,Y
10,22,17,0,3,30,12,0.27,12,2.5,10,0.83,69,7,0.55,45,1,8,0.67,69.77,Y
0,8,6,0,1,8,5,0.28,4,2.0,3,0.6,22,3,0.5,18,1,3,0.6,33.38,N
1,3,5,0,1,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,1,2,1.0,25.29,N
1,3,5,0,1,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,0,2,1.0,25.29,N
1,3,5,0,1,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,3,2,1.0,29.06,N
21,30,25,1,3,26,18,0.16,12,2.17,16,0.89,115,3,0.12,112,1,11,0.61,102.5,Y
2,9,12,0,4,8,6,0.18,4,2.0,6,1.0,34,3,0.4,33,1,4,0.67,64.58,N
7,12,8,0,2,4,8,0.16,2,2.0,6,0.75,45,1,0.0,51,0,6,0.75,67.6,N
2,3,5,0,0,4,2,0.2,2,2.0,2,1.0,12,1,0.0,10,1,1,0.5,31.89,N
1,8,5,0,0,8,5,0.21,4,2.0,4,0.8,22,1,0.0,24,1,4,0.8,43.9,N
7,7,8,0,0,4,5,0.14,2,2.0,4,0.8,30,1,0.0,36,0,4,0.8,55.99,Y
7,7,22,0,0,4,5,0.09,2,2.0,5,1.0,52,1,0.0,57,0,5,1.0,139.4,Y
9,11,13,0,9,8,8,0.1,4,2.0,5,0.63,43,1,0.0,79,2,7,0.88,123.35,Y
8,22,35,0,0,16,15,0.14,8,2.0,14,0.93,109,5,0.29,107,0,15,1.0,189.82,Y
27,51,45,3,2,62,30,0.14,30,2.07,23,0.77,229,14,0.45,211,0,27,0.9,195.9,Y
3,5,4,0,0,8,3,0.23,4,2.0,3,1.0,17,1,0.0,13,2,2,0.67,23.77,N
9,23,13,0,2,20,14,0.18,10,2.0,13,0.93,80,1,0.0,79,0,12,0.86,115.54,Y
0,3,3,0,0,6,2,0.5,2,3.0,2,1.0,11,1,0.0,4,1,2,1.0,14.83,N
9,3,9,0,4,4,2,0.1,2,2.0,2,1.0,22,1,0.0,21,0,1,0.5,71.77,N
9,7,10,0,4,12,4,0.11,6,2.0,4,1.0,32,4,1.0,37,0,4,1.0,69.01,N
12,14,22,0,1,10,9,0.14,4,2.5,7,0.78,68,4,0.38,66,0,6,0.67,116.42,N
2,10,9,0,0,12,6,0.18,6,2.0,5,0.83,30,3,0.4,33,0,4,0.67,45.02,N
5,13,4,0,3,22,7,0.23,10,2.2,4,0.57,30,7,1.0,31,0,6,0.86,26.27,N
0,7,5,0,0,10,4,0.29,4,2.5,2,0.5,19,3,0.67,14,1,2,0.5,31.35,N
0,3,10,0,0,4,2,0.11,2,2.0,2,1.0,26,1,0.0,19,0,2,1.0,48.56,N
0,7,5,0,0,10,4,0.29,4,2.5,2,0.5,19,3,0.67,14,1,2,0.5,31.35,N
0,7,6,0,0,10,4,0.29,4,2.5,2,0.5,20,3,0.67,14,1,2,0.5,34.38,N
3,5,3,0,1,6,3,0.27,2,3.0,2,0.67,13,3,1.0,11,1,1,0.33,29.72,N
6,9,10,0,2,14,5,0.21,6,2.33,5,1.0,34,4,0.75,24,1,3,0.6,47.78,N
2,3,2,0,0,4,2,0.22,2,2.0,2,1.0,7,1,0.0,9,0,2,1.0,15.96,N
6,6,7,0,1,4,4,0.19,2,2.0,4,1.0,21,1,0.0,21,0,4,1.0,46.32,N
0,3,8,0,0,4,2,0.18,2,2.0,2,1.0,16,1,0.0,11,0,2,1.0,36.54,N
7,12,16,1,0,16,7,0.19,8,2.0,6,0.86,47,1,0.0,35,0,6,0.86,67.77,N
24,45,36,1,8,58,25,0.21,24,2.42,23,0.92,150,8,0.29,117,0,23,0.92,142.73,N
2,3,2,0,0,6,2,0.33,2,3.0,2,1.0,7,1,0.0,6,0,2,1.0,17.23,N
0,3,1,0,0,4,2,0.33,2,2.0,2,1.0,7,1,0.0,6,2,2,1.0,13.38,N
2,12,5,0,1,14,7,0.33,6,2.33,6,0.86,29,3,0.33,21,0,7,1.0,28.85,N
0,3,3,0,0,4,2,0.5,2,2.0,2,1.0,9,1,0.0,4,0,1,0.5,19.46,N
10,11,19,0,3,20,6,0.17,10,2.0,6,1.0,48,1,0.0,36,0,4,0.67,115.58,N
10,12,20,0,5,16,7,0.15,8,2.0,7,1.0,53,3,0.33,47,0,6,0.86,100.52,N
0,7,3,0,0,6,4,0.25,2,3.0,2,0.5,14,3,0.67,16,0,3,0.75,23.55,N
9,18,10,0,1,4,12,0.16,2,2.0,10,0.83,67,1,0.0,73,0,10,0.83,96.22,N
0,5,5,0,3,8,3,0.19,4,2.0,3,1.0,15,1,0.0,16,2,3,1.0,25.63,N
0,3,5,0,5,4,2,0.11,2,2.0,2,1.0,12,1,0.0,18,1,2,1.0,24.85,N
0,7,6,0,0,12,4,0.21,6,2.0,3,0.75,22,1,0.0,19,2,1,0.25,28.87,N
0,5,4,0,0,8,3,0.3,4,2.0,2,0.67,15,1,0.0,10,1,1,0.33,23.36,N
0,3,1,0,0,4,2,0.22,2,2.0,1,0.5,6,1,0.0,9,1,1,0.5,14.87,N
0,5,4,0,0,8,3,0.21,4,2.0,3,1.0,15,3,1.0,14,1,1,0.33,26.73,N
0,3,3,0,0,6,2,0.5,2,3.0,2,1.0,9,1,0.0,4,1,2,1.0,19.99,N
0,3,5,0,0,4,2,0.22,2,2.0,2,1.0,12,1,0.0,9,0,1,0.5,20.53,N
0,5,4,0,0,8,3,0.18,4,2.0,3,1.0,15,3,1.0,17,1,2,0.67,24.56,N
0,3,6,0,0,4,2,0.18,2,2.0,2,1.0,14,1,0.0,11,0,1,0.5,35.16,N
0,5,3,0,0,8,3,0.17,4,2.0,2,0.67,13,3,1.0,18,1,2,0.67,24.12,N
0,3,6,0,0,4,2,0.13,2,2.0,2,1.0,12,1,0.0,16,2,2,1.0,27.13,N
0,3,7,0,0,4,2,0.17,2,2.0,2,1.0,14,1,0.0,12,1,1,0.5,41.57,N
0,3,3,0,0,4,2,0.22,2,2.0,2,1.0,8,1,0.0,9,1,2,1.0,17.88,N
0,5,6,0,0,8,3,0.14,4,2.0,3,1.0,18,1,0.0,22,1,2,0.67,35.04,N
2,3,7,0,6,4,2,0.11,2,2.0,2,1.0,14,1,0.0,18,1,2,1.0,39.51,N
0,3,4,0,0,4,2,0.15,2,2.0,2,1.0,10,1,0.0,13,2,2,1.0,25.59,N
0,3,6,0,0,4,2,0.18,2,2.0,2,1.0,13,1,0.0,11,0,1,0.5,34.43,N
1,3,3,0,0,4,2,0.5,2,2.0,2,1.0,9,1,0.0,4,0,2,1.0,19.29,N
3,3,5,0,5,4,2,0.29,2,2.0,2,1.0,11,1,0.0,7,0,2,1.0,17.22,N
1,3,2,0,0,4,2,0.33,2,2.0,2,1.0,8,1,0.0,6,1,2,1.0,15.86,N
13,7,21,0,5,12,4,0.11,6,2.0,4,1.0,55,1,0.0,37,1,4,1.0,89.21,N
5,11,6,0,0,18,6,0.26,8,2.25,4,0.67,27,1,0.0,23,2,6,1.0,22.86,N
1,5,5,0,0,8,3,0.33,4,2.0,3,1.0,16,3,1.0,9,1,3,1.0,27.86,N
1,3,4,0,0,4,2,0.29,2,2.0,2,1.0,11,1,0.0,7,0,2,1.0,24.71,N
1,3,4,0,0,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,1,2,1.0,16.47,N
1,7,4,0,0,8,4,0.5,2,4.0,3,0.75,14,1,0.0,8,2,4,1.0,15.19,N
1,3,3,0,0,4,2,0.25,2,2.0,2,1.0,8,1,0.0,8,1,2,1.0,15.23,N
2,3,4,0,0,4,2,0.22,2,2.0,1,0.5,13,1,0.0,9,3,1,0.5,42.03,N
0,3,7,0,0,4,2,0.17,2,2.0,2,1.0,16,1,0.0,12,0,2,1.0,31.49,N
3,3,5,0,5,4,2,0.29,2,2.0,2,1.0,11,1,0.0,7,0,2,1.0,20.1,N
18,13,19,0,10,24,7,0.12,12,2.0,7,1.0,73,1,0.0,57,1,7,1.0,88.41,N
4,11,6,0,15,18,6,0.24,8,2.25,4,0.67,27,1,0.0,25,2,6,1.0,24.1,N
2,7,7,0,0,12,4,0.18,6,2.0,4,1.0,23,3,0.67,22,1,3,0.75,28.83,N
1,3,4,0,0,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,1,2,1.0,17.15,N
1,3,3,0,0,4,2,0.25,2,2.0,2,1.0,8,1,0.0,8,1,2,1.0,15.23,N
0,3,8,0,0,4,2,0.17,2,2.0,2,1.0,16,1,0.0,12,0,2,1.0,33.66,N
0,3,3,0,0,4,2,0.5,2,2.0,2,1.0,9,1,0.0,4,2,2,1.0,18.99,N
5,11,8,0,1,18,6,0.3,8,2.25,6,1.0,41,5,0.8,20,2,6,1.0,46.13,N
6,13,10,0,4,22,7,0.3,10,2.2,7,1.0,52,3,0.33,23,2,7,1.0,50.81,N
2,12,5,0,1,14,7,0.33,6,2.33,6,0.86,29,3,0.33,21,0,7,1.0,28.85,N
10,14,15,0,3,18,8,0.16,8,2.25,8,1.0,49,5,0.57,50,0,4,0.5,75.66,N
0,7,3,0,0,6,4,0.25,2,3.0,2,0.5,14,3,0.67,16,0,3,0.75,23.55,N
13,12,14,0,4,4,8,0.15,2,2.0,8,1.0,46,1,0.0,54,0,8,1.0,90.48,N
4,10,9,0,1,12,6,0.22,6,2.0,6,1.0,37,4,0.6,27,0,5,0.83,61.09,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,28.73,N
5,23,9,0,0,34,12,0.43,12,2.83,10,0.83,57,7,0.55,28,3,11,0.92,47.44,N
6,18,17,0,1,28,10,0.15,14,2.0,9,0.9,68,1,0.0,67,0,7,0.7,65.16,N
4,5,5,0,0,8,3,0.2,4,2.0,3,1.0,18,1,0.0,15,2,2,0.67,31.14,N
5,21,14,0,3,38,11,0.27,18,2.11,10,0.91,66,1,0.0,41,1,11,1.0,58.14,N
3,9,7,0,0,16,5,0.33,8,2.0,5,1.0,27,1,0.0,15,3,5,1.0,42.6,N
1,9,6,0,1,4,6,0.21,2,2.0,4,0.67,26,1,0.0,28,0,4,0.67,52.27,N
9,34,28,1,27,56,18,0.22,26,2.15,15,0.83,116,10,0.53,81,3,16,0.89,93.63,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,28.73,N
14,11,15,0,0,8,7,0.12,4,2.0,5,0.71,44,4,0.5,58,2,4,0.57,104.52,N
8,9,13,0,1,16,5,0.11,8,2.0,5,1.0,68,1,0.0,44,0,5,1.0,72.83,N
5,18,18,0,2,20,10,0.17,10,2.0,8,0.8,62,5,0.44,58,0,9,0.9,69.5,N
0,3,2,0,0,4,2,0.25,2,2.0,2,1.0,8,1,0.0,8,2,2,1.0,16.2,N
0,7,5,0,0,8,4,0.36,2,4.0,3,0.75,17,4,1.0,11,1,1,0.25,18.54,N
0,3,2,0,0,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,2,2,1.0,18.62,N
0,5,2,0,0,6,3,0.3,2,3.0,2,0.67,12,3,1.0,10,3,3,1.0,19.09,N
9,12,10,0,8,16,7,0.21,8,2.0,6,0.86,38,1,0.0,34,1,5,0.71,54.94,N
1,6,11,0,0,4,4,0.2,2,2.0,3,0.75,25,1,0.0,20,1,3,0.75,48.84,N
10,23,14,0,13,34,13,0.25,16,2.13,12,0.92,74,1,0.0,52,1,11,0.85,64.37,N
16,32,32,1,12,36,19,0.16,18,2.0,16,0.84,141,4,0.17,121,0,16,0.84,167.64,N
3,11,6,0,0,18,6,0.43,8,2.25,5,0.83,28,1,0.0,14,3,6,1.0,37.16,N
0,3,4,0,0,4,2,0.25,2,2.0,2,1.0,9,1,0.0,8,0,2,1.0,28.73,N
6,27,7,0,0,44,14,0.37,18,2.44,14,1.0,86,9,0.62,38,2,14,1.0,41.06,N
0,5,4,0,0,8,3,0.33,4,2.0,3,1.0,16,1,0.0,9,1,1,0.33,32.94,N
6,40,27,1,13,66,21,0.31,30,2.2,19,0.9,122,9,0.4,66,3,16,0.76,88.04,N
1,6,5,0,1,4,4,0.27,2,2.0,2,0.5,16,1,0.0,15,0,2,0.5,37.99,N
5,13,11,0,0,24,7,0.21,12,2.0,6,0.86,42,5,0.67,34,2,5,0.71,42.13,N
1,3,5,0,0,4,2,0.33,2,2.0,2,1.0,13,1,0.0,6,2,2,1.0,25.23,Y
0,17,1,0,0,32,9,0.45,16,2.0,8,0.89,48,1,0.0,20,1,9,1.0,35.13,N
7,12,7,0,3,4,8,0.17,2,2.0,6,0.75,44,1,0.0,48,0,6,0.75,63.66,N
8,16,13,0,9,20,10,0.22,10,2.0,8,0.8,56,1,0.0,46,2,7,0.7,65.15,N
1,5,9,0,0,8,3,0.2,4,2.0,3,1.0,19,1,0.0,15,2,3,1.0,43.46,Y
4,9,5,0,0,16,5,0.25,8,2.0,5,1.0,34,4,0.75,20,1,5,1.0,41.69,N
4,17,5,0,0,24,9,0.45,8,3.0,9,1.0,50,9,1.0,20,1,9,1.0,46.86,Y
3,15,9,1,4,4,10,0.23,2,2.0,8,0.8,45,1,0.0,42,0,7,0.7,58.91,N
12,24,16,0,6,38,13,0.22,18,2.11,12,0.92,77,7,0.5,59,3,10,0.77,65.25,Y
3,11,3,0,0,20,6,0.25,10,2.0,2,0.33,26,1,0.0,24,1,4,0.67,31.92,N
7,9,20,1,0,16,5,0.1,8,2.0,5,1.0,49,3,0.5,47,0,4,0.8,90.12,Y
7,17,21,0,2,20,10,0.14,10,2.0,10,1.0,75,7,0.67,73,0,9,0.9,118.08,N
19,27,27,0,1,52,14,0.13,26,2.0,10,0.71,149,1,0.0,106,0,10,0.71,125.82,Y
1,5,5,0,3,8,3,0.27,4,2.0,3,1.0,14,1,0.0,11,0,2,0.67,28.48,Y
5,5,10,1,1,8,3,0.23,4,2.0,3,1.0,21,1,0.0,12,1,3,1.0,46.32,Y
2,5,6,0,7,8,3,0.25,4,2.0,3,1.0,15,1,0.0,12,1,3,1.0,29.1,Y
2,8,6,0,0,8,5,0.2,4,2.0,4,0.8,29,1,0.0,25,1,4,0.8,42.86,N
2,7,6,0,5,12,4,0.33,6,2.0,4,1.0,19,1,0.0,12,1,3,0.75,28.84,Y
0,3,2,0,1,4,2,0.22,2,2.0,2,1.0,9,1,0.0,9,2,2,1.0,18.62,Y
0,5,2,0,1,6,3,0.3,2,3.0,2,0.67,12,3,1.0,10,3,3,1.0,19.09,Y
5,6,6,1,0,4,4,0.18,2,2.0,3,0.75,19,1,0.0,21,0,3,0.75,32.17,Y
2,6,4,0,0,4,4,0.25,2,2.0,3,0.75,16,1,0.0,16,0,2,0.5,25.41,Y
21,41,28,0,11,64,22,0.2,30,2.13,19,0.86,151,8,0.33,111,1,16,0.73,141.86,Y
3,5,7,1,2,8,3,0.18,4,2.0,1,0.33,18,1,0.0,16,0,3,1.0,44.98,N
5,8,8,0,2,8,5,0.22,4,2.0,5,1.0,28,1,0.0,23,0,5,1.0,55.49,Y
19,24,17,2,12,16,15,0.17,8,2.0,9,0.6,83,1,0.0,86,0,11,0.73,92.86,Y
1,8,5,0,1,8,5,0.24,4,2.0,4,0.8,22,3,0.5,21,1,4,0.8,28.45,N
4,9,5,0,1,14,5,0.31,6,2.33,4,0.8,26,3,0.5,16,0,5,1.0,22.8,N
2,3,2,0,0,4,2,0.22,2,2.0,2,1.0,7,1,0.0,9,0,2,1.0,15.92,N
1,7,1,0,0,12,4,0.31,6,2.0,4,1.0,16,1,0.0,13,0,4,1.0,16.11,N
