LOC_CODE_AND_COMMENT,CYCLOMATIC_COMPLEXITY,BRANCH_COUNT,EDGE_COUNT,LOC_BLANK,NODE_COUNT,DESIGN_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,LOC_EXECUTABLE,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,NUM_OPERATORS,GLOBAL_DATA_COMPLEXITY,CALL_PAIRS,HALSTEAD_LENGTH,HALSTEAD_VOLUME,NUM_UNIQUE_OPERANDS,NUM_OPERANDS,HALSTEAD_ERROR_EST,Defective
3,26,43,132,22,108,18,166,131,128,15,109.6,411,19,20,666,4608,91,255,1.5,N
0,7,11,38,2,33,6,39,35,35,1,55.7,105,5,10,165,953.9,35,60,0.3,N
0,5,7,19,0,16,4,24,23,23,3,29.4,58,4,2,89,423.2,14,31,0.1,N
0,10,18,65,5,57,10,59,52,52,5,80.8,216,9,15,353,2191.9,53,137,0.7,N
0,7,13,40,1,35,7,25,22,22,1,54.5,98,7,10,153,849.9,30,55,0.3,N
0,7,11,40,5,35,5,62,44,44,1,42.1,146,6,9,236,1376.6,33,90,0.5,N
0,6,11,36,5,32,5,31,22,22,1,35.3,85,5,11,128,690.2,22,43,0.2,N
0,4,7,24,3,22,4,25,17,17,1,33.7,68,3,9,104,545.8,20,36,0.2,N
0,4,7,24,1,22,4,14,12,12,1,44.3,48,4,9,70,325.1,15,22,0.1,N
0,6,11,38,5,34,6,39,28,28,1,44.4,103,4,11,157,817.9,22,54,0.3,N
0,3,5,18,2,17,3,18,15,15,1,41,67,3,7,111,573.9,22,44,0.2,N
0,3,5,22,3,21,3,25,21,21,1,45.8,79,3,9,129,686.5,25,50,0.2,N
0,6,11,28,3,24,4,25,21,21,4,37.7,81,4,7,131,706.4,24,50,0.2,N
0,22,43,119,11,99,17,119,103,103,12,70.9,349,18,16,557,3469.5,51,208,1.2,N
0,3,5,13,1,12,3,14,12,12,1,26.2,32,3,3,52,241.5,13,20,0.1,N
0,2,3,9,1,9,2,10,8,8,1,18.7,24,1,3,36,144,7,12,0.1,N
0,6,11,35,3,31,6,29,25,25,1,30.2,101,6,6,151,755,16,50,0.3,N
0,2,3,9,0,9,2,9,8,8,1,20.8,27,2,4,42,187.3,10,15,0.1,N
0,2,3,9,0,9,2,5,4,4,1,16.3,13,2,3,20,76.2,6,7,0,N
0,6,11,32,5,28,5,28,22,22,1,39.5,83,4,7,127,671.3,22,44,0.2,N
0,3,5,13,1,12,3,13,11,11,1,23.3,36,3,4,57,264.7,12,21,0.1,N
0,17,33,97,15,82,13,102,76,76,12,69.5,298,10,13,473,2827.3,43,175,0.9,N
1,10,19,70,15,62,9,89,65,64,4,59.8,256,7,14,412,2533.7,46,156,0.8,N
0,11,19,81,5,72,11,78,71,71,7,122.9,246,10,24,385,2440.8,63,139,0.8,N
0,11,20,52,1,43,8,44,39,39,1,60.9,142,10,11,224,1338.9,41,82,0.5,N
0,2,3,17,5,17,2,24,17,17,1,50.1,83,1,6,139,701.2,22,56,0.2,N
0,7,11,42,12,37,5,67,54,54,4,88.1,162,4,13,271,1600.8,45,109,0.5,N
0,11,18,79,19,70,9,109,88,88,7,151.9,310,8,23,504,3295.7,76,194,1.1,N
0,7,12,40,9,35,7,42,30,30,6,52,132,6,10,216,1248.8,35,84,0.4,N
0,2,3,10,2,10,2,12,8,8,1,26.8,32,2,5,50,219.6,11,18,0.1,N
0,4,6,21,1,19,3,23,20,20,1,36.9,69,3,6,106,539.3,19,37,0.2,N
0,4,6,18,1,16,3,22,19,19,3,29.3,52,3,6,79,395,16,27,0.1,N
1,36,59,233,28,199,34,310,242,241,20,238.1,807,33,46,1287,9702.9,159,480,3.2,N
0,9,15,61,12,54,9,91,61,61,1,90.7,209,9,20,327,2043.1,55,118,0.7,N
0,2,3,9,0,9,2,9,8,8,1,20.3,30,2,4,46,198.8,9,16,0.1,N
0,3,5,30,4,29,3,24,19,19,1,58.1,90,3,11,142,722.4,23,52,0.2,N
0,2,3,9,0,9,2,9,8,8,1,20.3,30,2,4,46,198.8,9,16,0.1,N
2,14,25,102,20,90,9,144,104,102,5,163.3,357,12,29,590,4103,102,233,1.4,N
0,8,13,41,2,35,6,40,36,36,3,46.1,117,7,7,179,952.6,24,62,0.3,N
0,4,6,15,3,13,3,18,13,13,3,28.7,31,3,4,45,200.7,11,14,0.1,N
0,6,11,28,5,24,6,39,18,18,5,42.8,73,5,9,116,625.5,25,43,0.2,N
0,4,6,15,2,13,3,17,13,13,3,28.7,31,3,4,45,200.7,11,14,0.1,N
0,4,6,14,0,12,3,14,13,13,1,21.1,36,2,3,51,236.8,10,15,0.1,N
0,4,6,15,0,13,3,17,16,16,1,24.1,43,2,4,59,280.5,11,16,0.1,N
0,6,10,31,3,27,6,29,23,23,1,39,61,6,7,88,427.5,16,27,0.1,N
1,2,3,12,4,12,2,19,14,13,1,35.5,54,2,6,88,436,18,34,0.2,Y
9,22,40,138,11,118,19,140,114,105,15,75.8,363,19,18,529,3274.4,48,166,1.1,Y
1,2,3,11,2,11,2,14,11,10,1,25.4,47,2,6,71,348.4,14,24,0.1,Y
2,8,13,47,10,41,6,60,43,41,5,99.2,144,6,17,217,1287,45,73,0.4,Y
2,17,30,96,18,81,14,117,90,88,8,66.1,279,13,12,418,2517.4,42,139,0.8,Y
1,3,5,19,0,18,3,19,17,16,3,28,67,3,8,99,503.7,16,32,0.2,Y
1,9,15,56,12,49,7,73,53,52,5,99,185,7,20,287,1776.5,54,102,0.6,Y
0,4,6,26,7,24,4,32,23,23,1,68.6,89,4,14,136,755.4,32,47,0.3,Y
4,15,27,83,15,70,15,94,70,66,7,73.4,205,14,17,314,1854.8,41,109,0.6,Y
0,5,8,28,4,25,2,36,27,27,1,63.9,110,4,9,161,930.8,35,51,0.3,Y
1,14,27,64,7,52,12,57,43,42,6,35.7,126,11,9,184,985.8,21,58,0.3,Y
0,12,22,69,10,59,10,59,45,45,7,69.8,189,8,17,299,1838.8,48,110,0.6,Y
0,5,8,22,0,19,3,20,18,18,3,33.4,60,3,6,90,475.7,20,30,0.2,N
0,2,3,12,1,12,2,12,9,9,1,25.3,41,2,5,63,299.6,13,22,0.1,N
0,2,3,12,1,12,2,12,9,9,1,25.3,41,2,5,63,299.6,13,22,0.1,N
0,2,3,12,1,12,2,12,9,9,1,29.1,43,2,5,67,325.5,15,24,0.1,N
1,18,30,115,21,99,16,138,113,112,3,102.5,378,11,25,597,3903.9,69,219,1.3,Y
0,6,9,34,2,30,6,40,33,33,3,64.6,132,4,12,211,1275.4,44,79,0.4,N
0,8,12,45,7,39,6,61,51,51,1,67.6,167,6,8,282,1665.7,42,115,0.6,N
0,2,3,12,2,12,2,13,10,10,1,31.9,35,1,5,56,272.1,16,21,0.1,N
0,5,8,22,1,19,4,26,24,24,1,43.9,68,4,5,104,549.7,23,36,0.2,N
0,5,7,30,7,27,4,44,36,36,1,56,119,4,8,198,1105.8,32,79,0.4,Y
0,5,7,52,7,49,5,65,57,57,1,139.4,213,5,22,357,2294.2,70,144,0.8,Y
0,8,11,43,9,37,5,102,79,79,1,123.4,215,7,13,367,2376.6,71,152,0.8,Y
0,15,22,109,8,96,14,118,107,107,5,189.8,412,15,35,675,4709.7,106,263,1.6,Y
3,30,51,229,27,201,23,246,214,211,14,195.9,857,27,45,1413,10685.5,158,556,3.6,Y
0,3,5,17,3,16,3,17,13,13,1,23.8,47,2,4,76,369.2,14,29,0.1,N
0,14,23,80,9,68,13,91,79,79,1,115.5,232,12,13,367,2286,58,135,0.8,Y
0,2,3,11,0,11,2,5,4,4,1,14.8,22,2,3,30,103.8,4,8,0,N
0,2,3,22,9,22,2,35,21,21,1,71.8,91,1,9,155,795,26,64,0.3,N
0,4,7,32,9,30,4,51,37,37,4,69,128,4,10,207,1168.3,35,79,0.4,N
0,9,14,68,12,61,7,81,66,66,4,116.4,257,6,22,418,2733.4,72,161,0.9,N
0,6,10,30,2,26,5,37,33,33,3,45,83,4,9,125,669.7,24,42,0.2,N
0,7,13,30,5,25,4,41,31,31,7,26.3,70,6,4,104,510.3,14,34,0.2,N
0,4,7,19,0,17,2,15,14,14,3,31.4,42,2,5,65,312.5,15,23,0.1,N
0,2,3,26,0,26,2,20,19,19,1,48.6,97,2,10,163,836.1,23,66,0.3,N
0,4,7,19,0,17,2,15,14,14,3,31.4,42,2,5,65,312.5,15,23,0.1,N
0,4,7,20,0,18,2,15,14,14,3,34.4,45,2,6,69,335.2,16,24,0.1,N
0,3,5,13,3,12,2,16,11,11,3,29.7,51,1,3,85,404.2,15,34,0.1,N
0,5,9,34,6,31,5,33,24,24,4,47.8,116,3,10,195,1132.4,35,79,0.4,N
0,2,3,7,2,7,2,12,9,9,1,16,23,2,2,36,155.6,8,13,0.1,N
0,4,6,21,6,19,4,29,21,21,1,46.3,78,4,7,129,700,27,51,0.2,N
0,2,3,16,0,16,2,12,11,11,1,36.5,48,2,8,74,339.3,14,26,0.1,N
1,7,12,47,7,42,6,44,36,35,1,67.8,140,6,16,217,1271.2,39,77,0.4,N
1,25,45,150,24,127,23,151,118,117,8,142.7,445,23,36,680,4688.5,93,235,1.6,N
0,2,3,7,2,7,2,9,6,6,1,17.2,21,2,2,34,149.3,9,13,0.1,N
0,2,3,7,0,7,2,7,6,6,1,13.4,16,2,1,24,98.1,6,8,0,N
0,7,12,29,2,24,6,25,21,21,3,28.9,64,7,5,101,500.4,16,37,0.2,N
0,2,3,9,0,9,2,5,4,4,1,19.5,14,1,3,19,68.1,5,5,0,N
0,6,11,48,10,44,6,50,36,36,1,115.6,140,4,19,223,1357.5,53,83,0.5,N
0,7,12,53,10,48,7,63,47,47,3,100.5,179,6,20,289,1811.1,58,110,0.6,N
0,4,7,14,0,12,2,17,16,16,3,23.6,31,3,3,44,199,10,13,0.1,N
0,12,18,67,9,57,10,85,73,73,1,96.2,230,10,10,373,2246.3,49,143,0.8,N
0,3,5,15,0,14,3,21,16,16,1,25.6,50,3,5,82,410,16,32,0.1,N
0,2,3,12,0,12,2,24,18,18,1,24.9,49,2,5,82,410,16,33,0.1,N
0,4,7,22,0,20,3,21,19,19,1,28.9,57,1,6,83,422.3,16,26,0.1,N
0,3,5,15,0,14,2,12,10,10,1,23.4,30,1,4,44,196.2,10,14,0.1,N
0,2,3,6,0,6,1,10,9,9,1,14.9,20,1,1,30,127.4,7,10,0,N
0,3,5,15,0,14,3,15,14,14,3,26.7,36,1,4,53,246.1,12,17,0.1,N
0,2,3,9,0,9,2,5,4,4,1,20,20,2,3,28,106.6,6,8,0,N
0,2,3,12,0,12,2,10,9,9,1,20.5,27,1,5,40,166.8,8,13,0.1,N
0,3,5,15,0,14,3,18,17,17,3,24.6,43,2,4,64,300.8,12,21,0.1,N
0,2,3,14,0,14,2,12,11,11,1,35.2,40,1,6,63,288.9,14,23,0.1,N
0,3,5,13,0,12,2,19,18,18,3,24.1,55,2,3,88,447.7,16,33,0.2,N
0,2,3,12,0,12,2,17,16,16,1,27.1,49,2,6,81,408.6,17,32,0.1,N
0,2,3,14,0,14,2,13,12,12,1,41.6,44,1,7,72,342.4,17,28,0.1,N
0,2,3,8,0,8,2,10,9,9,1,17.9,24,2,3,38,166.9,9,14,0.1,N
0,3,5,18,0,17,3,23,22,22,1,35,55,2,6,87,442.6,19,32,0.2,N
0,2,3,14,2,14,2,27,18,18,1,39.5,49,2,7,82,398.4,18,33,0.1,N
0,2,3,10,0,10,2,15,13,13,1,25.6,45,2,4,73,358.2,15,28,0.1,N
0,2,3,13,0,13,2,12,11,11,1,34.4,37,1,6,59,270.5,14,22,0.1,N
0,2,3,9,1,9,2,6,4,4,1,19.3,19,2,3,30,129.7,9,11,0,N
0,2,3,11,3,11,2,16,7,7,1,17.2,34,2,5,53,236.4,9,19,0.1,N
0,2,3,8,1,8,2,8,6,6,1,15.9,22,2,2,30,114.2,5,8,0,N
0,4,7,55,13,53,4,56,37,37,1,89.2,203,4,21,347,2141,54,144,0.7,N
0,6,11,27,5,23,4,29,23,23,1,22.9,72,6,6,111,564.7,15,39,0.2,N
0,3,5,16,1,15,3,11,9,9,3,27.9,36,3,5,52,241.5,12,16,0.1,N
0,2,3,11,1,11,2,9,7,7,1,24.7,24,2,4,34,139,8,10,0.1,N
0,2,3,9,1,9,2,11,9,9,1,16.5,30,2,4,48,214.1,9,18,0.1,N
0,4,7,14,1,12,3,10,8,8,1,15.2,29,4,4,47,212.6,9,18,0.1,N
0,2,3,8,1,8,2,10,8,8,1,15.2,23,2,3,37,159.9,8,14,0.1,N
0,2,3,13,2,13,1,12,9,9,1,42,34,1,4,56,260.1,16,22,0.1,N
0,2,3,16,0,16,2,13,12,12,1,31.5,55,2,7,89,440.9,17,34,0.2,N
0,2,3,11,3,11,2,16,7,7,1,20.1,34,2,5,52,235.2,10,18,0.1,N
0,7,13,73,18,68,7,86,57,57,1,88.4,239,7,19,397,2457.4,54,158,0.8,N
0,6,11,27,4,23,4,45,25,25,1,24.1,78,6,6,117,595.2,15,39,0.2,N
0,4,7,23,2,21,4,25,22,22,3,28.8,61,3,7,90,445.9,15,29,0.2,N
0,2,3,9,1,9,2,11,9,9,1,17.2,32,2,4,50,223,9,18,0.1,N
0,2,3,8,1,8,2,10,8,8,1,15.2,23,2,3,37,159.9,8,14,0.1,N
0,2,3,16,0,16,2,13,12,12,1,33.7,55,2,8,89,445,18,34,0.2,N
0,2,3,9,0,9,2,6,4,4,1,19,16,2,3,25,97.7,7,9,0,N
0,6,11,41,5,37,6,28,20,20,5,46.1,110,6,8,170,954.5,29,60,0.3,N
0,7,13,52,6,47,7,35,23,23,3,50.8,125,7,10,192,1078,30,67,0.4,N
0,7,12,29,2,24,6,25,21,21,3,28.9,64,7,5,101,500.4,16,37,0.2,N
0,8,14,49,10,43,8,64,50,50,5,75.7,153,4,15,246,1507.8,49,93,0.5,N
0,4,7,14,0,12,2,17,16,16,3,23.6,31,3,3,44,199,10,13,0.1,N
0,8,12,46,13,40,8,73,54,54,1,90.5,161,8,14,259,1542.1,46,98,0.5,N
0,6,10,37,4,33,6,33,27,27,4,61.1,97,5,9,152,808.9,27,55,0.3,N
0,2,3,9,0,9,2,9,8,8,1,28.7,32,2,4,51,227.4,12,19,0.1,N
0,12,23,57,5,47,10,35,28,28,7,47.4,118,11,9,186,1075.3,33,68,0.4,N
0,10,18,68,6,60,9,75,67,67,1,65.2,205,7,17,314,1823.5,37,109,0.6,N
0,3,5,18,4,17,3,20,15,15,1,31.1,61,2,5,101,533.8,21,40,0.2,N
0,11,21,66,5,57,10,50,41,41,1,58.1,164,11,14,243,1391.9,33,79,0.5,N
0,5,9,27,3,24,5,19,15,15,1,42.6,68,5,7,103,532.5,21,35,0.2,N
0,6,9,26,1,22,4,32,28,28,1,52.3,79,4,6,125,651.2,24,46,0.2,N
1,18,34,116,9,100,15,121,82,81,10,93.6,376,16,28,608,4090.6,77,232,1.4,N
0,2,3,9,0,9,2,10,8,8,1,28.7,32,2,4,51,227.4,12,19,0.1,N
0,7,11,44,14,39,5,73,58,58,4,104.5,183,4,15,311,1893.2,53,128,0.6,N
0,5,9,68,8,65,5,54,44,44,1,72.8,214,5,13,348,2147.1,50,134,0.7,N
0,10,18,62,5,54,8,66,58,58,5,69.5,177,9,18,269,1665.1,48,92,0.6,N
0,2,3,8,0,8,2,10,8,8,1,16.2,20,2,2,34,141.8,8,14,0.1,N
0,4,7,17,0,15,3,12,11,11,4,18.5,44,1,5,68,333.7,12,24,0.1,N
0,2,3,9,0,9,2,11,9,9,1,18.6,36,2,2,57,276.9,12,21,0.1,N
0,3,5,12,0,11,2,12,10,10,3,19.1,42,3,2,67,340.9,14,25,0.1,N
0,7,12,38,9,33,6,53,34,34,1,54.9,125,5,10,193,1120.8,35,68,0.4,N
0,4,6,25,1,23,3,22,20,20,1,48.8,80,3,11,128,694.6,27,48,0.2,N
0,13,23,74,10,63,12,77,52,52,1,64.4,221,11,14,348,2133,46,127,0.7,N
1,19,32,141,16,124,16,153,122,121,4,167.6,532,16,32,867,6126.3,110,335,2,N
0,6,11,28,3,24,5,19,14,14,1,37.2,72,6,6,114,610.8,23,42,0.2,N
0,2,3,9,0,9,2,10,8,8,1,28.7,32,2,4,51,227.4,12,19,0.1,N
0,14,27,86,6,74,14,45,38,38,9,41.1,204,14,7,323,1730.5,24,119,0.6,N
0,3,5,16,0,15,3,10,9,9,1,32.9,36,1,4,53,229.1,11,17,0.1,N
1,21,40,122,6,103,19,88,67,66,9,88,307,16,27,487,3256.3,73,180,1.1,N
0,4,6,16,1,14,2,19,15,15,1,38,46,2,5,72,356.7,18,26,0.1,N
0,7,13,42,5,37,6,40,34,34,5,42.1,126,5,11,200,1128.8,29,74,0.4,N
0,2,3,13,1,13,2,9,6,6,1,25.2,28,2,5,41,164,8,13,0.1,Y
0,9,17,48,0,41,8,21,20,20,1,35.1,76,9,1,120,535.1,13,44,0.2,N
0,8,12,44,7,38,6,60,48,48,1,63.7,158,6,7,266,1537.8,38,108,0.5,N
0,10,16,56,8,48,8,65,46,46,1,65.2,183,7,13,297,1768.4,42,114,0.6,N
0,3,5,19,1,18,3,18,15,15,1,43.5,57,3,9,96,484.3,21,39,0.2,Y
0,5,9,34,4,31,5,26,20,20,4,41.7,71,5,5,106,515,17,35,0.2,N
0,9,17,50,4,43,9,26,20,20,9,46.9,87,9,5,134,681.7,21,47,0.2,Y
1,10,15,45,3,37,8,52,43,42,1,58.9,118,7,9,176,949.1,27,58,0.3,N
0,13,24,77,12,66,12,79,59,59,7,65.3,226,10,16,351,2231.5,53,125,0.7,Y
0,6,11,26,3,22,2,28,24,24,1,31.9,74,4,3,116,599.7,19,42,0.2,N
1,5,9,49,7,46,5,56,48,47,3,90.1,173,4,20,285,1746.9,52,112,0.6,Y
0,10,17,75,7,67,10,84,73,73,7,118.1,243,9,21,385,2433.9,62,142,0.8,N
0,14,27,149,19,137,10,127,106,106,1,125.8,521,10,27,829,5632.6,86,308,1.9,Y
0,3,5,14,1,13,3,17,11,11,1,28.5,40,2,5,59,270.5,12,19,0.1,Y
1,3,5,21,5,20,3,21,13,12,1,46.3,60,3,10,93,473.1,21,33,0.2,Y
0,3,5,15,2,14,3,23,12,12,1,29.1,44,3,6,65,305.5,13,21,0.1,Y
0,5,8,29,2,26,4,28,25,25,1,42.9,97,4,6,153,758,19,56,0.3,N
0,4,7,19,2,17,4,21,12,12,1,28.8,46,3,6,69,331.7,14,23,0.1,Y
0,2,3,9,0,9,2,12,9,9,1,18.6,36,2,2,57,276.9,12,21,0.1,Y
0,3,5,12,0,11,2,13,10,10,3,19.1,42,3,2,67,340.9,14,25,0.1,Y
1,4,6,19,5,17,3,28,22,21,1,32.2,57,3,6,88,440,17,31,0.2,Y
0,4,6,16,2,14,3,19,16,16,1,25.4,46,2,4,74,355.7,14,28,0.1,Y
0,22,41,151,21,131,19,144,111,111,8,141.9,450,16,28,715,4903.5,92,265,1.6,Y
1,3,5,18,3,17,1,25,17,16,1,45,78,3,7,125,660.7,24,47,0.2,N
0,5,8,28,5,25,5,31,23,23,1,55.5,61,5,8,91,470.5,23,30,0.2,Y
2,15,24,83,19,70,9,122,88,86,1,92.9,306,11,17,495,3259.6,70,189,1.1,Y
0,5,8,22,1,19,4,24,21,21,3,28.5,48,4,5,66,302.6,11,18,0.1,N
0,5,9,26,4,23,4,23,16,16,3,22.8,53,5,5,79,387.6,13,26,0.1,N
0,2,3,7,2,7,2,13,9,9,1,15.9,22,2,2,33,137.6,7,11,0.1,N
0,4,7,16,1,14,4,15,13,13,1,16.1,36,4,1,52,220.9,7,16,0.1,N
