HALSTEAD_EFFORT,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,HALSTEAD_LENGTH,NUM_OPERATORS,NUMBER_OF_LINES,NUM_OPERANDS,EDGE_COUNT,NODE_COUNT,HALSTEAD_CONTENT,LOC_EXECUTABLE,LOC_TOTAL,NUM_UNIQUE_OPERANDS,CONDITION_COUNT,BRANCH_COUNT,LOC_COMMENTS,MULTIPLE_CONDITION_COUNT,LOC_BLANK,CALL_PAIRS,DECISION_COUNT,Defective
4925.18,273.62,615.65,108,60,41,48,30,28,76.96,26,26,39,8,7,6,4,8,15,4,N
1308.6,72.7,203.56,45,25,13,20,13,12,31.66,11,11,14,8,5,0,4,1,4,4,N
791.15,43.95,105.49,27,17,16,10,10,9,14.06,9,9,6,8,5,4,4,2,0,4,N
3749.74,208.32,312.48,65,33,26,32,17,14,26.04,15,15,16,12,9,6,6,4,4,4,N
7918.85,439.94,705.41,130,72,44,58,31,26,62.84,31,31,31,24,13,6,12,6,7,12,N
4292.33,238.46,418.76,81,40,33,41,7,7,40.86,28,28,24,4,3,0,2,4,3,2,N
4172.6,231.81,267.35,53,30,24,23,10,9,17.13,15,15,14,8,5,3,4,5,1,4,N
3922.73,217.93,239.72,51,27,14,24,16,14,14.65,12,12,11,12,7,0,6,1,0,6,N
150.0,8.33,36.0,12,7,8,5,5,5,8.64,7,7,3,4,3,0,2,0,1,2,N
3317.73,184.32,258.51,55,33,35,22,13,12,20.14,16,16,12,8,5,15,4,3,3,4,Y
3542.75,196.82,478.97,90,51,37,39,22,20,64.76,31,31,29,12,7,2,6,3,9,6,N
2658.2,147.68,386.65,76,43,31,33,17,16,56.24,26,26,24,8,5,2,4,2,7,4,N
10120.84,562.27,1109.4,181,101,73,80,56,50,121.61,44,44,57,24,15,11,12,17,25,12,Y
2589.55,143.86,242.5,51,28,22,23,15,14,22.71,16,16,14,8,5,2,4,3,2,4,N
176348.54,9797.14,3716.76,526,303,130,223,118,92,78.34,100,100,94,16,33,9,8,20,13,8,N
2705.36,150.3,324.14,75,44,14,31,14,14,38.84,9,9,13,4,3,3,2,1,4,2,Y
8545.97,474.78,486.26,92,55,27,37,16,13,27.67,22,22,20,4,7,0,2,4,1,2,N
59603.26,3311.29,1802.88,286,172,60,114,59,39,54.53,46,46,50,16,28,4,8,9,6,8,N
16859.61,936.64,899.18,161,86,45,75,32,23,47.96,36,37,32,24,21,2,12,5,3,4,N
1455.85,80.88,195.04,42,23,13,19,9,9,26.13,10,10,14,4,3,0,2,2,2,2,N
8399.67,466.65,656.58,121,68,35,53,14,13,51.32,24,24,29,8,5,5,4,5,6,4,N
271.19,15.07,70.31,19,10,11,9,6,6,18.23,9,9,7,4,3,0,2,1,2,2,N
1014.63,56.37,131.77,30,16,14,14,7,7,17.11,11,11,10,4,3,0,2,2,1,2,N
3588.0,199.33,602.07,109,60,38,49,30,28,101.03,28,28,37,8,7,3,4,6,16,4,Y
966.99,53.72,218.72,46,25,20,21,13,12,49.47,18,18,19,8,5,0,4,1,4,4,Y
9698.89,538.83,595.16,106,66,38,40,23,18,36.52,32,32,27,8,10,0,4,5,6,4,N
19104.17,1061.34,748.14,130,75,49,55,21,17,29.3,39,39,28,12,10,2,6,7,1,6,N
37867.16,2103.73,1352.4,235,147,54,88,36,31,48.3,47,47,33,12,11,0,6,6,5,6,N
68495.54,3805.31,1441.06,246,129,71,117,47,37,30.32,48,48,32,44,23,13,22,9,1,22,N
6218.16,345.45,459.83,87,52,37,35,22,18,34.0,23,23,22,12,10,7,6,6,5,6,N
30006.37,1667.02,1697.33,276,144,56,132,30,30,96.01,34,34,56,4,3,7,2,14,7,2,N
80809.25,4489.4,2629.2,405,215,83,190,37,35,85.54,51,51,68,12,7,13,6,18,9,6,N
25777.05,1432.06,1127.37,195,101,49,94,18,16,49.31,26,26,37,12,7,16,6,6,0,6,N
676.0,37.56,104.0,26,13,7,13,6,6,16.0,5,5,8,4,3,0,2,1,0,2,N
8646.51,480.36,377.83,77,42,29,35,18,15,16.51,16,16,13,14,9,8,7,4,2,6,N
4532.64,251.81,746.76,131,73,50,58,34,32,123.03,34,34,43,8,7,4,4,11,20,4,N
10151.3,563.96,1008.98,177,102,39,75,19,18,100.29,30,30,41,8,5,5,4,3,3,4,Y
5152.07,286.23,449.78,87,51,28,36,17,16,39.27,22,22,22,4,5,2,2,3,6,2,N
7959.08,442.17,495.0,99,52,49,47,29,24,30.79,28,28,19,22,13,12,11,8,4,10,N
2854.12,158.56,475.69,90,50,38,40,28,26,79.28,24,24,30,8,7,6,4,7,14,4,N
2065.86,114.77,306.05,63,33,16,30,11,11,45.34,13,13,20,4,3,0,2,2,4,2,N
29630.1,1646.12,1045.51,164,90,93,74,23,17,36.89,61,61,47,4,10,21,2,10,6,2,Y
31947.46,1774.86,1129.46,170,98,85,72,29,22,39.93,58,58,56,6,12,15,3,11,10,2,N
13645.26,758.07,973.75,170,99,74,71,28,25,69.49,43,43,38,16,9,17,8,13,7,8,Y
37041.01,2057.83,1464.5,250,128,81,122,29,24,57.9,64,64,41,12,11,7,6,9,3,6,N
1785.31,99.18,340.06,70,37,28,33,18,17,64.76,23,23,22,8,5,1,4,3,6,4,N
396.0,22.0,88.0,22,13,17,9,10,9,19.56,9,9,8,8,5,5,4,2,2,4,N
13744.03,763.56,790.83,144,81,38,63,42,34,45.5,32,32,29,36,19,0,18,5,2,18,N
2338.69,129.93,411.2,83,44,54,39,32,26,72.3,43,43,24,28,15,2,14,8,1,14,N
3624.82,201.38,289.99,57,32,26,25,12,11,23.2,16,16,17,8,5,4,4,5,4,4,N
150.57,8.36,50.19,14,8,8,6,6,6,16.73,5,5,6,4,3,1,2,1,2,2,N
1248.64,69.37,156.08,35,19,16,16,7,7,19.51,9,9,11,4,3,4,2,2,2,2,N
2030.23,112.79,170.97,41,22,16,19,13,12,14.4,7,7,8,8,5,5,4,3,2,4,N
9925.73,551.43,757.88,138,80,36,58,17,15,57.87,30,30,31,12,7,0,6,5,5,6,N
21852.33,1214.02,1085.83,179,102,50,77,31,28,53.95,41,41,44,14,9,1,7,7,9,6,N
218.94,12.16,68.11,19,10,6,9,7,7,21.19,5,5,7,4,3,0,2,0,3,2,N
5958.66,331.04,399.14,75,42,46,33,30,24,26.74,26,26,21,26,15,12,13,7,4,12,N
10838.14,602.12,729.11,125,70,51,55,26,23,49.05,38,38,37,4,7,3,2,9,9,2,N
19033.06,1057.39,1174.88,193,103,74,90,57,47,72.52,49,49,50,38,23,8,19,16,10,16,N
2563.41,142.41,241.48,52,29,24,23,11,10,22.75,15,15,13,8,5,3,4,5,2,4,N
2996.6,166.48,279.68,61,31,44,30,19,18,26.1,19,19,14,8,5,15,4,9,3,4,N
1135.41,63.08,206.44,47,25,28,22,13,12,37.53,16,16,14,8,5,6,4,5,3,4,N
259.45,14.41,69.19,20,11,11,9,5,5,18.45,9,9,6,4,3,0,2,1,1,2,N
32200.08,1788.89,1623.53,264,138,81,126,85,69,81.86,64,64,54,58,35,5,29,11,10,24,N
33283.94,1849.11,1800.5,276,151,116,125,103,83,97.4,80,80,71,76,43,18,38,17,13,34,N
44996.99,2499.83,1607.04,258,139,88,119,66,56,57.39,69,69,51,30,21,5,15,13,5,14,N
3941.05,218.95,360.0,72,40,37,32,26,21,32.88,25,25,19,22,13,6,11,5,4,10,N
521.24,28.96,104.25,25,15,27,10,14,11,20.85,9,9,9,10,9,13,5,4,3,2,N
8923.89,495.77,878.66,147,82,61,65,48,41,86.51,40,40,48,28,17,6,14,14,12,12,N
664.34,36.91,193.26,44,22,25,22,13,13,56.22,13,13,16,4,3,5,2,6,6,2,N
600.86,33.38,122.62,30,16,14,14,8,8,25.03,9,9,10,4,3,2,2,2,2,2,N
758.26,42.13,152.93,36,19,13,17,8,8,30.84,9,9,12,4,3,1,2,2,2,2,N
10809.44,600.52,1375.75,217,117,83,100,55,48,175.1,55,55,70,28,17,11,14,16,24,14,Y
41124.72,2284.71,1633.89,257,165,76,92,53,36,64.91,59,59,53,8,22,1,4,15,16,4,N
4375.94,243.11,401.13,77,45,22,32,17,13,36.77,19,19,22,4,8,0,2,2,7,2,N
29446.21,1635.9,1419.09,222,139,88,83,54,37,68.39,64,64,56,8,22,2,4,21,18,4,N
58239.35,3235.52,2158.17,327,194,118,133,94,70,79.98,77,77,69,38,37,15,19,25,23,18,Y
28928.56,1607.14,1439.48,224,145,91,79,58,39,71.63,67,67,57,12,25,2,6,21,22,6,N
23432.15,1301.79,1241.24,211,125,76,86,74,61,65.75,56,56,41,32,25,3,16,16,17,14,Y
572.0,31.78,104.0,26,15,14,11,7,7,18.91,10,10,8,4,3,2,2,1,2,2,N
4846.19,269.23,409.79,77,45,43,32,17,14,34.65,29,29,23,4,7,6,2,7,4,2,N
41194.43,2288.58,1773.65,276,156,83,120,74,58,76.37,61,61,62,52,35,8,48,13,9,18,N
271.19,15.07,70.31,19,10,11,9,6,6,18.23,9,9,7,4,3,0,2,1,2,2,N
98831.96,5490.66,2608.07,408,248,109,160,49,43,68.82,77,77,57,28,15,13,14,18,14,14,N
4493.95,249.66,677.66,122,66,42,56,32,30,102.19,28,28,38,8,7,3,4,10,15,4,N
648.71,36.04,140.55,32,17,14,15,11,10,30.45,12,12,13,8,5,0,4,1,4,4,N
7636.01,424.22,617.62,110,59,38,51,37,29,49.95,32,32,33,32,19,1,16,4,6,14,N
1842.99,102.39,242.5,51,32,24,19,17,14,31.91,20,20,15,8,8,0,4,3,5,4,N
9057.37,503.19,741.06,130,75,42,55,27,22,60.63,28,29,36,18,13,9,9,3,3,6,N
34868.47,1937.14,1421.99,232,125,94,107,85,69,57.99,71,71,48,60,35,8,30,14,12,26,Y
706.95,39.28,218.51,49,27,24,22,17,17,67.54,16,16,17,4,3,3,2,4,10,2,N
5580.43,310.02,549.19,100,55,29,45,13,13,54.05,20,20,31,4,3,4,2,4,9,2,N
157.27,8.74,62.91,17,9,8,8,7,7,25.16,6,6,8,4,3,1,2,0,3,2,N
1234.01,68.56,302.21,61,33,27,28,21,20,74.01,18,18,24,8,5,4,4,4,10,4,N
10600.85,588.94,830.3,140,79,59,61,35,31,65.03,36,36,43,18,11,13,9,9,12,8,N
4495.15,249.73,228.33,47,32,14,15,16,13,11.6,11,11,8,14,9,2,7,0,0,6,N
852.01,47.33,110.45,26,17,13,9,7,7,14.32,10,10,7,4,3,1,2,1,1,2,N
3750.38,208.35,258.64,58,29,21,29,21,18,17.84,14,14,11,16,9,4,8,2,1,8,N
2602.12,144.56,437.59,84,47,38,37,26,24,73.59,25,25,28,8,7,7,4,5,13,4,N
3719.21,206.62,246.12,53,36,15,17,12,11,16.29,12,12,9,8,5,1,4,1,1,4,N
31875.39,1770.86,1368.31,224,142,72,82,40,29,58.74,53,53,44,4,15,4,2,14,15,2,N
937.86,52.1,133.98,31,17,15,14,9,9,19.14,6,6,10,4,3,5,2,3,3,2,N
3260.81,181.16,580.09,109,56,27,53,21,21,103.2,9,25,33,4,3,0,2,1,2,2,N
3422.92,190.16,572.02,109,56,27,53,21,21,95.59,9,25,31,4,3,0,2,1,2,2,N
1432.72,79.6,146.95,34,21,20,13,9,9,15.07,12,12,8,4,3,5,2,2,2,2,N
3260.81,181.16,580.09,109,56,27,53,21,21,103.2,9,25,33,4,3,0,2,1,2,2,N
7817.84,434.32,423.93,82,49,33,33,24,20,22.99,20,20,17,20,11,8,10,4,2,10,N
2809.44,156.08,222.97,50,29,29,21,22,16,17.7,11,11,10,14,15,14,8,3,2,4,N
34070.5,1892.81,1362.82,228,128,55,100,47,36,54.51,39,39,42,42,25,9,21,6,3,18,N
3119.36,173.3,551.4,101,57,41,44,31,29,97.47,28,28,35,8,7,5,4,7,17,4,N
4824.95,268.05,425.73,83,49,36,34,26,21,37.56,28,28,21,12,11,3,6,4,6,6,N
10920.4,606.69,373.35,85,49,14,36,16,14,12.76,11,11,8,12,7,0,6,2,0,6,N
516.23,28.68,57.36,16,10,13,6,8,7,6.37,5,5,3,6,5,5,3,2,1,2,N
1089.13,60.51,121.01,28,16,14,12,7,7,13.45,7,7,8,4,3,3,2,3,2,2,N
286.8,15.93,57.36,16,11,13,5,7,7,11.47,7,7,4,4,3,2,2,3,1,2,N
1820.94,101.16,185.47,41,23,20,18,16,14,18.89,15,15,11,12,7,1,6,3,3,6,N
3182.29,176.79,348.06,69,37,33,32,16,15,38.07,17,17,21,8,5,6,4,9,7,4,N
2036.45,113.14,293.25,61,36,20,25,11,10,42.23,12,12,18,8,5,4,4,3,4,4,N
199.32,11.07,53.15,16,11,12,5,6,6,14.17,9,9,4,4,3,1,2,1,0,2,N
199.32,11.07,53.15,16,11,12,5,6,6,14.17,9,9,4,4,3,1,2,1,0,2,N
1295.09,71.95,182.84,41,24,20,17,9,9,25.81,13,13,12,4,3,3,2,3,4,2,N
199.32,11.07,53.15,16,11,12,5,6,6,14.17,9,9,4,4,3,1,2,1,0,2,N
199.32,11.07,53.15,16,11,12,5,6,6,14.17,9,9,4,4,3,1,2,1,0,2,N
642.17,35.68,116.76,28,17,21,11,15,13,21.23,13,13,9,12,7,4,6,3,3,6,N
1873.84,104.1,210.91,46,25,40,21,10,10,23.74,11,11,13,4,3,21,2,7,3,2,N
1792.43,99.58,244.42,52,32,27,20,15,13,33.33,16,16,15,12,7,4,6,6,3,6,N
9899.11,549.95,892.01,155,85,77,70,53,39,80.38,54,54,41,48,31,8,26,14,6,18,N
9443.41,524.63,743.09,131,70,52,61,42,35,58.47,37,37,36,32,17,5,16,9,4,14,N
5457.54,303.2,296.34,61,35,29,26,19,16,16.09,19,19,12,18,9,5,9,4,2,8,N
5422.96,301.28,674.04,125,66,58,59,30,28,83.78,33,33,33,12,7,14,6,10,8,6,N
2098.65,116.59,291.48,60,28,24,32,18,15,40.48,15,15,20,14,9,4,7,4,5,6,N
22807.44,1267.08,1279.15,206,116,86,90,70,56,71.74,59,59,53,50,31,11,25,15,10,20,Y
32071.97,1781.78,1542.48,250,134,120,116,75,61,74.18,66,66,53,46,31,33,24,20,11,16,Y
3318.52,184.36,283.63,59,32,22,27,13,11,24.24,12,12,15,8,7,6,4,3,2,2,N
24755.65,1375.31,1741.06,277,147,85,130,93,78,122.45,64,64,64,56,33,4,28,16,14,24,Y
3202.49,177.92,354.12,67,41,36,26,17,15,39.16,24,24,23,4,6,5,2,6,6,2,N
22006.83,1222.6,1267.06,201,111,123,90,67,53,72.95,66,67,57,52,31,32,26,23,9,20,Y
37407.34,2078.19,1440.76,226,124,97,102,59,49,55.49,57,57,55,30,22,17,15,22,12,12,Y
6146.88,341.49,626.07,114,60,44,54,19,18,63.77,26,26,33,12,5,7,6,10,7,6,N
44929.28,2496.07,2110.58,322,174,126,148,88,76,99.15,82,83,73,32,24,16,16,26,13,14,N
2125.07,118.06,433.4,82,44,38,38,20,19,88.39,20,20,31,8,5,6,4,11,10,4,N
12402.61,689.03,477.02,93,54,43,39,33,26,18.35,29,29,15,24,16,5,12,8,4,10,N
22527.81,1251.55,625.77,122,68,50,54,34,27,17.38,35,35,15,24,16,3,12,11,2,12,N
3079.11,171.06,293.25,61,33,34,28,12,11,27.93,18,18,16,8,5,11,4,4,1,4,N
1276.77,70.93,286.62,59,31,29,28,13,13,64.34,19,19,22,4,3,2,2,7,5,2,N
3514.5,195.25,355.0,71,38,21,33,10,9,35.86,17,17,20,6,5,1,3,2,2,2,N
2002.01,111.22,333.67,68,40,25,28,19,17,55.61,21,21,21,12,7,0,6,3,3,6,N
1059.13,58.84,178.81,39,25,15,14,15,13,30.19,12,12,13,12,7,0,6,2,4,6,N
1059.13,58.84,178.81,39,25,15,14,15,13,30.19,12,12,13,12,7,0,6,2,4,6,Y
23055.47,1280.86,1026.58,176,99,89,77,37,31,45.71,52,52,36,28,15,19,14,17,7,14,N
7552.8,419.6,680.99,124,63,39,61,18,17,61.4,17,17,33,6,5,10,3,11,4,2,N
26360.63,1464.48,1466.05,240,130,107,110,77,65,81.53,63,63,52,38,25,18,19,25,9,18,Y
16603.31,922.41,1258.36,206,111,77,95,69,58,95.37,52,52,54,40,25,11,20,13,14,16,Y
18176.24,1009.79,1104.94,192,98,73,94,50,46,67.17,44,44,40,16,11,13,8,15,10,6,N
605.07,33.61,151.27,35,23,11,12,14,12,37.82,10,10,12,12,7,0,6,0,2,6,N
14630.58,812.81,1156.15,188,101,69,87,58,48,91.36,45,45,55,38,23,11,19,12,14,16,Y
2730.02,151.67,310.23,66,42,23,24,26,21,35.25,17,17,15,20,13,3,10,2,6,8,N
4288.91,238.27,389.9,82,50,24,32,27,22,35.45,18,18,16,20,13,3,10,2,6,8,N
2092.15,116.23,237.74,50,28,23,22,16,13,27.02,17,17,15,14,9,0,7,5,2,6,N
949.99,52.78,174.17,41,26,11,15,14,12,31.93,10,10,11,12,7,0,6,0,1,6,Y
1674.07,93.0,292.3,59,31,22,28,14,12,51.04,13,13,22,10,7,3,5,5,4,4,N
301.14,16.73,100.38,28,16,17,12,11,11,33.46,11,11,8,4,3,2,2,3,5,2,N
774.24,43.01,190.16,44,25,20,19,12,12,46.71,13,13,14,4,3,2,2,4,6,2,N
2461.38,136.74,369.21,76,41,30,35,34,29,55.38,19,19,21,20,13,4,10,6,8,8,N
971.34,53.96,224.66,49,28,13,21,23,19,51.96,10,10,17,14,11,2,7,0,9,4,N
3778.06,209.89,335.0,67,38,27,29,20,16,29.7,20,20,18,16,11,2,8,4,4,6,N
784.43,43.58,142.62,33,22,15,11,15,13,25.93,12,12,10,12,7,0,6,2,4,6,N
1132.02,62.89,176.42,39,25,15,14,15,13,27.49,12,12,12,12,7,0,6,2,4,6,N
9306.1,517.01,646.26,117,63,40,54,19,18,44.88,30,30,30,8,5,3,4,6,6,4,N
1698.45,94.36,223.48,47,28,13,19,16,14,29.41,9,9,15,8,7,1,4,2,5,2,N
1272.5,70.69,187.98,41,25,13,16,16,14,27.77,9,9,13,8,7,1,4,2,5,2,N
1698.45,94.36,223.48,47,28,13,19,16,14,29.41,9,9,15,8,7,1,4,2,5,2,Y
1698.45,94.36,223.48,47,28,13,19,16,14,29.41,9,9,15,8,7,1,4,2,5,2,N
15905.03,883.61,748.82,138,79,42,59,12,11,35.26,27,27,25,8,5,5,4,9,2,4,N
1285.99,71.44,185.75,40,25,18,15,8,8,26.83,14,14,13,4,3,0,2,3,2,2,N
15888.57,882.7,857.48,149,86,111,63,29,25,46.28,40,48,34,20,11,42,10,20,7,10,N
12025.31,668.07,873.51,160,101,65,59,21,20,63.45,48,48,30,8,5,4,4,12,10,4,N
392.92,21.83,85.95,22,14,17,8,14,11,18.8,9,9,7,10,9,6,5,1,2,2,N
22355.6,1241.98,1088.3,190,103,52,87,39,32,52.98,31,31,36,28,17,10,15,10,4,12,N
39787.9,2210.44,1557.48,243,154,84,89,46,32,60.97,50,50,54,12,20,17,6,16,7,6,N
742.59,41.25,129.66,30,16,12,14,7,7,22.64,10,10,11,4,3,0,2,1,2,2,N
13683.04,760.17,895.54,151,78,65,73,20,19,58.61,44,47,43,8,5,7,4,10,7,4,N
22020.91,1223.38,1231.94,196,105,101,91,81,65,68.92,66,66,56,62,35,12,31,22,10,30,N
4341.04,241.17,504.77,105,62,23,43,9,9,58.69,9,9,20,4,3,8,2,5,3,2,N
9577.07,532.06,726.1,133,82,54,51,40,33,55.05,35,35,29,32,17,10,16,8,5,16,N
659.44,36.64,89.92,22,14,8,8,6,6,12.26,6,6,6,4,3,1,2,0,1,2,N
36801.7,2044.54,1353.63,216,126,55,90,51,34,49.79,43,43,48,16,24,5,8,6,2,8,N
35137.98,1952.11,1382.74,245,137,54,108,43,36,54.41,40,40,34,24,16,5,12,8,3,12,N
1007.83,55.99,211.52,45,27,21,18,8,8,44.39,14,14,17,4,3,4,2,2,4,2,N
239.85,13.33,44.97,13,9,5,4,5,5,8.43,4,4,3,4,3,0,2,0,0,2,N
29266.83,1625.93,1398.0,233,126,78,107,55,48,66.78,50,50,46,26,17,16,13,11,12,12,N
7016.86,389.83,389.83,76,42,33,34,16,13,21.66,18,18,17,12,9,11,6,3,3,4,N
479.58,26.64,66.61,18,9,7,9,7,7,9.25,5,5,5,4,3,0,2,1,1,2,N
797.67,44.31,110.45,26,13,13,13,8,8,15.29,9,9,9,4,3,2,2,1,1,2,N
28823.57,1601.31,1225.35,202,112,86,90,58,48,52.09,58,58,44,38,23,13,19,14,11,18,N
3360.12,186.67,197.65,45,28,20,17,11,10,11.63,13,13,7,8,5,4,4,2,1,4,N
14362.03,797.89,857.43,147,80,63,67,38,34,51.19,40,40,38,16,11,12,8,10,14,8,N
20115.78,1117.54,952.99,162,91,66,71,43,35,45.15,42,42,37,28,19,13,14,10,8,12,N
4270.38,237.24,381.47,77,46,48,31,19,18,34.08,23,23,18,8,5,18,4,6,6,4,N
1806.0,100.33,172.0,43,22,12,21,7,7,16.37,10,10,8,4,3,1,2,0,0,2,N
13960.02,775.56,812.49,164,80,39,84,18,18,47.29,24,24,22,4,3,3,2,11,3,2,N
11992.27,666.24,786.99,162,82,25,80,17,17,51.65,19,19,21,4,3,0,2,5,1,2,N
3679.85,204.44,361.66,73,36,30,37,7,7,35.54,21,21,20,4,3,3,2,5,3,2,N
1509.98,83.89,126.71,31,18,20,13,9,8,10.63,9,9,6,8,5,6,4,4,0,4,N
1912.87,106.27,382.57,74,39,34,35,19,17,76.51,17,17,28,12,7,7,6,9,6,6,N
758.26,42.13,152.93,36,19,15,17,13,12,30.84,12,12,12,8,5,1,4,1,5,4,N
7077.77,393.21,578.25,111,60,45,51,41,34,47.24,25,25,25,24,17,8,12,11,7,8,N
23049.99,1280.56,1636.88,276,161,42,115,75,62,116.24,31,31,49,56,29,2,28,8,5,28,N
4437.26,246.51,442.8,85,48,51,37,23,21,44.19,26,26,24,12,7,14,6,10,7,6,N
423.25,23.51,120.93,29,15,12,14,12,11,34.55,8,8,12,8,5,0,4,3,4,4,N
505.67,28.09,168.56,39,21,17,18,12,12,56.19,11,11,15,4,3,1,2,4,6,2,N
1021.56,56.75,245.18,51,26,18,25,10,10,58.84,10,10,21,4,3,2,2,5,5,2,N
91.35,5.08,36.54,11,6,5,5,6,6,14.62,4,4,5,4,3,0,2,0,2,2,N
114633.41,6368.52,3306.37,483,257,168,226,134,110,95.37,112,112,88,82,50,25,41,30,17,36,Y
731.32,40.63,162.52,37,19,13,18,13,12,36.11,9,9,14,8,5,0,4,3,4,4,N
760.66,42.26,142.62,33,17,15,16,9,9,26.74,9,9,12,4,3,2,2,3,4,2,N
1248.86,69.38,223.48,47,28,27,19,13,12,39.99,17,17,17,8,5,6,4,3,4,4,N
193.59,10.75,64.53,18,12,10,6,7,7,21.51,9,9,6,4,3,0,2,0,2,2,N
1307.59,72.64,237.74,50,28,26,22,15,14,43.23,16,16,18,8,5,2,4,7,5,4,N
1458.23,81.01,249.98,52,31,22,21,13,12,42.85,20,20,18,8,5,0,4,1,3,4,N
150.0,8.33,36.0,12,7,8,5,5,5,8.64,7,7,3,4,3,0,2,0,1,2,N
2598.43,144.36,494.94,93,51,31,42,32,29,94.27,24,24,32,12,9,2,6,4,14,6,N
12318.72,684.37,767.4,131,70,43,61,37,31,47.8,34,34,38,26,15,2,13,6,11,12,N
1767.82,98.21,236.84,51,32,24,19,15,13,31.73,20,20,14,4,6,0,2,3,5,2,N
150.0,8.33,36.0,12,7,8,5,5,5,8.64,7,7,3,4,3,0,2,0,1,2,N
2972.97,165.17,553.48,102,55,31,47,30,28,103.04,24,24,35,8,7,2,4,4,14,4,N
538.68,29.93,120.93,29,15,15,14,8,8,27.15,13,13,11,4,3,0,2,1,3,2,N
1767.82,98.21,236.84,51,32,24,19,15,13,31.73,20,20,14,4,6,0,2,3,5,2,N
3709.37,206.08,600.05,112,61,45,51,63,45,97.07,37,38,33,40,39,3,20,3,3,4,N
4271.56,237.31,667.43,123,67,54,56,72,51,104.29,41,42,35,46,45,6,23,5,3,4,N
294.0,16.32,84.0,21,12,8,9,7,7,24.0,7,7,9,4,3,0,2,0,3,2,N
3442.96,191.28,553.48,102,55,32,47,24,23,88.98,23,23,34,4,5,3,2,5,13,2,N
2201.88,122.33,204.46,43,23,20,20,18,15,18.99,10,10,13,16,9,5,8,4,3,6,N
6910.42,383.91,496.83,94,58,43,36,32,25,35.72,31,31,22,14,15,5,7,6,7,6,N
1946.71,108.15,275.78,58,34,26,24,11,11,39.07,17,18,17,4,3,4,2,3,5,2,N
13214.36,734.13,754.43,133,74,54,59,27,23,43.07,28,28,32,22,11,16,11,9,8,10,N
1312.96,72.94,194.51,43,22,24,21,16,14,28.82,16,16,14,12,7,4,6,3,3,6,N
741.1,41.17,178.41,42,24,20,18,19,17,42.95,16,16,13,12,7,1,6,2,4,6,N
3882.17,215.68,373.29,74,42,31,32,32,27,35.89,25,25,20,22,13,1,11,4,4,10,N
6010.8,333.93,539.01,96,50,47,46,22,20,48.34,29,29,33,12,7,8,6,9,6,6,Y
2930.73,162.82,267.19,55,28,13,27,10,10,24.36,10,10,16,4,3,0,2,2,4,2,N
4519.95,251.11,686.36,121,67,46,54,34,31,104.23,32,32,41,12,9,4,6,9,17,6,Y
2552.29,141.79,351.55,68,35,27,33,8,8,48.42,20,20,25,4,3,2,2,4,3,2,Y
2951.88,163.99,326.98,66,41,27,25,17,14,36.22,22,22,18,4,7,0,2,4,6,2,N
3890.76,216.15,604.25,106,58,48,48,31,26,93.84,39,39,41,22,13,3,11,5,7,10,N
1560.8,86.71,187.3,42,22,17,20,10,9,22.48,13,13,12,8,5,0,4,3,2,4,N
38746.22,2152.57,1201.43,201,115,61,86,35,26,37.25,49,49,36,24,19,0,12,11,2,10,N
10117.34,562.07,730.87,127,76,45,51,20,17,52.8,37,37,35,4,7,4,2,3,5,2,N
1512.98,84.05,125.34,29,16,11,13,7,7,10.38,8,8,7,4,3,0,2,2,1,2,N
79271.67,4403.98,2168.46,345,190,171,155,71,59,59.32,110,111,53,52,27,25,26,34,4,26,N
605.07,33.61,129.66,30,16,18,14,10,9,27.78,12,12,12,8,5,2,4,3,0,4,N
605.07,33.61,129.66,30,16,18,14,10,9,27.78,12,12,12,8,5,2,4,3,0,4,N
2355.5,130.86,218.72,46,26,27,20,12,10,20.31,14,14,13,10,7,7,5,5,0,4,N
1546.1,85.89,144.95,33,17,22,16,8,8,13.59,9,9,9,4,3,9,2,3,2,2,N
245.93,13.66,50.19,14,7,10,7,7,7,10.24,5,5,5,4,3,2,2,2,1,2,N
13420.45,745.58,614.01,117,63,28,54,20,16,28.09,21,21,21,4,8,3,2,3,3,2,N
9298.52,516.58,1135.35,193,102,68,91,53,48,138.63,52,52,50,20,13,5,10,10,14,10,N
5313.4,295.19,434.1,80,46,34,34,17,15,35.47,27,27,25,4,6,2,2,4,6,2,N
28263.16,1570.18,1073.46,181,94,53,87,28,24,40.77,37,37,38,20,11,8,10,7,4,10,N
1743.9,96.88,264.7,57,29,18,28,21,17,40.18,16,16,17,20,11,0,10,1,2,10,N
3391.89,188.44,387.64,79,44,16,35,24,15,44.3,14,14,20,22,21,1,18,0,0,2,N
1214.56,67.48,130.8,32,19,15,13,6,6,14.09,8,8,7,4,3,3,2,3,0,2,N
732.54,40.7,97.67,25,15,17,10,6,6,13.02,9,9,6,4,3,4,2,3,0,2,N
1536.14,85.34,216.64,53,27,16,26,11,11,30.55,11,11,11,4,3,1,2,3,4,2,N
