NUMBER_OF_LINES,LOC_EXECUTABLE,NUM_UNIQUE_OPERANDS,NODE_COUNT,LOC_BLANK,LOC_TOTAL,HALSTEAD_VOLUME,NUM_OPERATORS,NUM_OPERANDS,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,EDGE_COUNT,DECISION_COUNT,DESIGN_COMPLEXITY,MULTIPLE_CONDITION_COUNT,CONDITION_COUNT,BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,MODIFIED_CONDITION_COUNT,LOC_COMMENTS,Defective
41,26,39,28,8,26,615.7,60,48,0.2,108,30,4,4,4,8,7,4,2,6,N
13,11,14,12,1,11,203.6,25,20,0.1,45,13,4,3,4,8,5,3,2,0,N
16,9,6,9,2,9,105.5,17,10,0,27,10,4,1,4,8,5,3,2,4,N
26,15,16,14,4,15,312.5,33,32,0.1,65,17,4,3,6,12,9,5,4,6,N
44,31,31,26,6,31,705.4,72,58,0.2,130,31,12,6,12,24,13,7,6,6,N
33,28,24,7,4,28,418.8,40,41,0.1,81,7,2,2,2,4,3,2,1,0,N
24,15,14,9,5,15,267.4,30,23,0.1,53,10,4,2,4,8,5,3,2,3,N
14,12,11,14,1,12,239.7,27,24,0.1,51,16,6,1,6,12,7,4,3,0,N
8,7,3,5,0,7,36,7,5,0,12,5,2,2,2,4,3,2,1,0,N
35,16,12,12,3,16,258.5,33,22,0.1,55,13,4,2,4,8,5,3,2,15,Y
37,31,29,20,3,31,479,51,39,0.2,90,22,6,4,6,12,7,4,3,2,N
31,26,24,16,2,26,386.7,43,33,0.1,76,17,4,3,4,8,5,3,2,2,N
73,44,57,50,17,44,1109.4,101,80,0.4,181,56,12,8,12,24,15,8,6,11,Y
22,16,14,14,3,16,242.5,28,23,0.1,51,15,4,3,4,8,5,3,2,2,N
130,100,94,92,20,100,3716.8,303,223,1.2,526,118,8,15,8,16,33,28,4,9,N
14,9,13,14,1,9,324.1,44,31,0.1,75,14,2,2,2,4,3,2,1,3,Y
27,22,20,13,4,22,486.3,55,37,0.2,92,16,2,2,2,4,7,5,1,0,N
60,46,50,39,9,46,1802.9,172,114,0.6,286,59,8,21,8,16,28,22,4,4,N
45,36,32,23,5,37,899.2,86,75,0.3,161,32,4,2,12,24,21,11,10,2,N
13,10,14,9,2,10,195,23,19,0.1,42,9,2,2,2,4,3,2,1,0,N
35,24,29,13,5,24,656.6,68,53,0.2,121,14,4,3,4,8,5,3,2,5,N
11,9,7,6,1,9,70.3,10,9,0,19,6,2,2,2,4,3,2,1,0,N
14,11,10,7,2,11,131.8,16,14,0,30,7,2,2,2,4,3,2,1,0,N
38,28,37,28,6,28,602.1,60,49,0.2,109,30,4,4,4,8,7,4,2,3,Y
20,18,19,12,1,18,218.7,25,21,0.1,46,13,4,3,4,8,5,3,2,0,Y
38,32,27,18,5,32,595.2,66,40,0.2,106,23,4,7,4,8,10,7,2,0,N
49,39,28,17,7,39,748.1,75,55,0.3,130,21,6,5,6,12,10,6,3,2,N
54,47,33,31,6,47,1352.4,147,88,0.5,235,36,6,7,6,12,11,7,3,0,N
71,48,32,37,9,48,1441.1,129,117,0.5,246,47,22,2,22,44,23,12,11,13,N
37,23,22,18,6,23,459.8,52,35,0.2,87,22,6,5,6,12,10,6,3,7,N
56,34,56,30,14,34,1697.3,144,132,0.6,276,30,2,1,2,4,3,2,1,7,N
83,51,68,35,18,51,2629.2,215,190,0.9,405,37,6,3,6,12,7,4,3,13,N
49,26,37,16,6,26,1127.4,101,94,0.4,195,18,6,1,6,12,7,4,3,16,N
7,5,8,6,1,5,104,13,13,0,26,6,2,1,2,4,3,2,1,0,N
29,16,13,15,4,16,377.8,42,35,0.1,77,18,6,2,7,14,9,5,4,8,N
50,34,43,32,11,34,746.8,73,58,0.3,131,34,4,4,4,8,7,4,2,4,N
39,30,41,18,3,30,1009,102,75,0.3,177,19,4,3,4,8,5,3,2,5,Y
28,22,22,16,3,22,449.8,51,36,0.2,87,17,2,3,2,4,5,3,1,2,N
49,28,19,24,8,28,495,52,47,0.2,99,29,10,4,11,22,13,7,6,12,N
38,24,30,26,7,24,475.7,50,40,0.2,90,28,4,4,4,8,7,4,2,6,N
16,13,20,11,2,13,306.1,33,30,0.1,63,11,2,2,2,4,3,2,1,0,N
93,61,47,17,10,61,1045.5,90,74,0.4,164,23,2,8,2,4,10,8,1,21,Y
85,58,56,22,11,58,1129.5,98,72,0.4,170,29,2,8,3,6,12,9,2,15,N
74,43,38,25,13,43,973.8,99,71,0.3,170,28,8,5,8,16,9,5,4,17,Y
81,64,41,24,9,64,1464.5,128,122,0.5,250,29,6,4,6,12,11,7,3,7,N
28,23,22,17,3,23,340.1,37,33,0.1,70,18,4,3,4,8,5,3,2,1,N
17,9,8,9,2,9,88,13,9,0,22,10,4,3,4,8,5,3,2,5,N
38,32,29,34,5,32,790.8,81,63,0.3,144,42,18,6,18,36,19,10,9,0,N
54,43,24,26,8,43,411.2,44,39,0.1,83,32,14,2,14,28,15,8,7,2,N
26,16,17,11,5,16,290,32,25,0.1,57,12,4,3,4,8,5,3,2,4,N
8,5,6,6,1,5,50.2,8,6,0,14,6,2,2,2,4,3,2,1,1,N
16,9,11,7,2,9,156.1,19,16,0.1,35,7,2,2,2,4,3,2,1,4,N
16,7,8,12,3,7,171,22,19,0.1,41,13,4,2,4,8,5,3,2,5,N
36,30,31,15,5,30,757.9,80,58,0.3,138,17,6,4,6,12,7,4,3,0,N
50,41,44,28,7,41,1085.8,102,77,0.4,179,31,6,4,7,14,9,5,4,1,N
6,5,7,7,0,5,68.1,10,9,0,19,7,2,2,2,4,3,2,1,0,N
46,26,21,24,7,26,399.1,42,33,0.1,75,30,12,4,13,26,15,8,7,12,N
51,38,37,23,9,38,729.1,70,55,0.2,125,26,2,5,2,4,7,5,1,3,N
74,49,50,47,16,49,1174.9,103,90,0.4,193,57,16,9,19,38,23,12,11,8,N
24,15,13,10,5,15,241.5,29,23,0.1,52,11,4,2,4,8,5,3,2,3,N
44,19,14,18,9,19,279.7,31,30,0.1,61,19,4,3,4,8,5,3,2,15,N
28,16,14,12,5,16,206.4,25,22,0.1,47,13,4,3,4,8,5,3,2,6,N
11,9,6,5,1,9,69.2,11,9,0,20,5,2,2,2,4,3,2,1,0,N
81,64,54,69,11,64,1623.5,138,126,0.5,264,85,24,12,29,58,35,18,17,5,N
116,80,71,83,17,80,1800.5,151,125,0.6,276,103,34,17,38,76,43,22,21,18,N
88,69,51,56,13,69,1607,139,119,0.5,258,66,14,9,15,30,21,12,8,5,N
37,25,19,21,5,25,360,40,32,0.1,72,26,10,6,11,22,13,7,6,6,N
27,9,9,11,4,9,104.3,15,10,0,25,14,2,2,5,10,9,5,4,13,N
61,40,48,41,14,40,878.7,82,65,0.3,147,48,12,8,14,28,17,9,8,6,N
25,13,16,13,6,13,193.3,22,22,0.1,44,13,2,2,2,4,3,2,1,5,N
14,9,10,8,2,9,122.6,16,14,0,30,8,2,2,2,4,3,2,1,2,N
13,9,12,8,2,9,152.9,19,17,0.1,36,8,2,2,2,4,3,2,1,1,N
83,55,70,48,16,55,1375.8,117,100,0.5,217,55,14,9,14,28,17,9,7,11,Y
76,59,53,36,15,59,1633.9,165,92,0.5,257,53,4,19,4,8,22,19,2,1,N
22,19,22,13,2,19,401.1,45,32,0.1,77,17,2,6,2,4,8,6,1,0,N
88,64,56,37,21,64,1419.1,139,83,0.5,222,54,4,19,4,8,22,19,2,2,N
118,77,69,70,25,77,2158.2,194,133,0.7,327,94,18,26,19,38,37,26,10,15,Y
91,67,57,39,21,67,1439.5,145,79,0.5,224,58,6,21,6,12,25,21,3,2,N
76,56,41,61,16,56,1241.2,125,86,0.4,211,74,14,15,16,32,25,15,9,3,Y
14,10,8,7,1,10,104,15,11,0,26,7,2,2,2,4,3,2,1,2,N
43,29,23,14,7,29,409.8,45,32,0.1,77,17,2,5,2,4,7,5,1,6,N
83,61,62,58,13,61,1773.7,156,120,0.6,276,74,18,8,48,52,35,18,17,8,N
11,9,7,6,1,9,70.3,10,9,0,19,6,2,2,2,4,3,2,1,0,N
109,77,57,43,18,77,2608.1,248,160,0.9,408,49,14,6,14,28,15,8,7,13,N
42,28,38,30,10,28,677.7,66,56,0.2,122,32,4,4,4,8,7,4,2,3,N
14,12,13,10,1,12,140.6,17,15,0.1,32,11,4,3,4,8,5,3,2,0,N
38,32,33,29,4,32,617.6,59,51,0.2,110,37,14,9,16,32,19,10,9,1,N
24,20,15,14,3,20,242.5,32,19,0.1,51,17,4,5,4,8,8,5,2,0,N
42,28,36,22,3,29,741.1,75,55,0.3,130,27,6,6,9,18,13,7,6,9,N
94,71,48,69,14,71,1422,125,107,0.5,232,85,26,11,30,60,35,18,17,8,Y
24,16,17,17,4,16,218.5,27,22,0.1,49,17,2,2,2,4,3,2,1,3,N
29,20,31,13,4,20,549.2,55,45,0.2,100,13,2,2,2,4,3,2,1,4,N
8,6,8,7,0,6,62.9,9,8,0,17,7,2,2,2,4,3,2,1,1,N
27,18,24,20,4,18,302.2,33,28,0.1,61,21,4,3,4,8,5,3,2,4,N
59,36,43,31,9,36,830.3,79,61,0.3,140,35,8,5,9,18,11,6,5,13,N
14,11,8,13,0,11,228.3,32,15,0.1,47,16,6,1,7,14,9,5,4,2,N
13,10,7,7,1,10,110.5,17,9,0,26,7,2,1,2,4,3,2,1,1,N
21,14,11,18,2,14,258.6,29,29,0.1,58,21,8,2,8,16,9,5,4,4,N
38,25,28,24,5,25,437.6,47,37,0.2,84,26,4,4,4,8,7,4,2,7,N
15,12,9,11,1,12,246.1,36,17,0.1,53,12,4,1,4,8,5,3,2,1,N
72,53,44,29,14,53,1368.3,142,82,0.5,224,40,2,13,2,4,15,13,1,4,N
15,6,10,9,3,6,134,17,14,0,31,9,2,2,2,4,3,2,1,5,N
27,9,33,21,1,25,580.1,56,53,0.2,109,21,2,2,2,4,3,2,1,0,N
27,9,31,21,1,25,572,56,53,0.2,109,21,2,2,2,4,3,2,1,0,N
20,12,8,9,2,12,147,21,13,0.1,34,9,2,2,2,4,3,2,1,5,N
27,9,33,21,1,25,580.1,56,53,0.2,109,21,2,2,2,4,3,2,1,0,N
33,20,17,20,4,20,423.9,49,33,0.1,82,24,10,3,10,20,11,6,5,8,N
29,11,10,16,3,11,223,29,21,0.1,50,22,4,7,8,14,15,8,5,14,N
55,39,42,36,6,39,1362.8,128,100,0.5,228,47,18,6,21,42,25,13,12,9,N
41,28,35,29,7,28,551.4,57,44,0.2,101,31,4,4,4,8,7,4,2,5,N
36,28,21,21,4,28,425.7,49,34,0.1,83,26,6,7,6,12,11,7,3,3,N
14,11,8,14,2,11,373.4,49,36,0.1,85,16,6,1,6,12,7,4,3,0,N
13,5,3,7,2,5,57.4,10,6,0,16,8,2,2,3,6,5,3,2,5,N
14,7,8,7,3,7,121,16,12,0,28,7,2,1,2,4,3,2,1,3,N
13,7,4,7,3,7,57.4,11,5,0,16,7,2,1,2,4,3,2,1,2,N
20,15,11,14,3,15,185.5,23,18,0.1,41,16,6,3,6,12,7,4,3,1,N
33,17,21,15,9,17,348.1,37,32,0.1,69,16,4,3,4,8,5,3,2,6,N
20,12,18,10,3,12,293.3,36,25,0.1,61,11,4,3,4,8,5,3,2,4,N
12,9,4,6,1,9,53.2,11,5,0,16,6,2,1,2,4,3,2,1,1,N
12,9,4,6,1,9,53.2,11,5,0,16,6,2,1,2,4,3,2,1,1,N
20,13,12,9,3,13,182.8,24,17,0.1,41,9,2,2,2,4,3,2,1,3,N
12,9,4,6,1,9,53.2,11,5,0,16,6,2,1,2,4,3,2,1,1,N
12,9,4,6,1,9,53.2,11,5,0,16,6,2,1,2,4,3,2,1,1,N
21,13,9,13,3,13,116.8,17,11,0,28,15,6,4,6,12,7,4,3,4,N
40,11,13,10,7,11,210.9,25,21,0.1,46,10,2,1,2,4,3,2,1,21,N
27,16,15,13,6,16,244.4,32,20,0.1,52,15,6,2,6,12,7,4,3,4,N
77,54,41,39,14,54,892,85,70,0.3,155,53,18,9,26,48,31,16,15,8,N
52,37,36,35,9,37,743.1,70,61,0.3,131,42,14,5,16,32,17,9,9,5,N
29,19,12,16,4,19,296.3,35,26,0.1,61,19,8,3,9,18,9,5,5,5,N
58,33,33,28,10,33,674,66,59,0.2,125,30,6,4,6,12,7,4,3,14,N
24,15,20,15,4,15,291.5,28,32,0.1,60,18,6,4,7,14,9,5,4,4,N
86,59,53,56,15,59,1279.2,116,90,0.4,206,70,20,10,25,50,31,16,15,11,Y
120,66,53,61,20,66,1542.5,134,116,0.5,250,75,16,8,24,46,31,16,15,33,Y
22,12,15,11,3,12,283.6,32,27,0.1,59,13,2,2,4,8,7,4,3,6,N
85,64,64,78,16,64,1741.1,147,130,0.6,277,93,24,11,28,56,33,17,16,4,Y
36,24,23,15,6,24,354.1,41,26,0.1,67,17,2,4,2,4,6,4,1,5,N
123,66,57,53,23,67,1267.1,111,90,0.4,201,67,20,8,26,52,31,16,16,32,Y
97,57,55,49,22,57,1440.8,124,102,0.5,226,59,12,7,15,30,22,12,9,17,Y
44,26,33,18,10,26,626.1,60,54,0.2,114,19,6,3,6,12,5,3,3,7,N
126,82,73,76,26,83,2110.6,174,148,0.7,322,88,14,11,16,32,24,14,9,16,N
38,20,31,19,11,20,433.4,44,38,0.1,82,20,4,3,4,8,5,3,2,6,N
43,29,15,26,8,29,477,54,39,0.2,93,33,10,4,12,24,16,9,7,5,N
50,35,15,27,11,35,625.8,68,54,0.2,122,34,12,3,12,24,16,9,6,3,N
34,18,16,11,4,18,293.3,33,28,0.1,61,12,4,1,4,8,5,3,2,11,N
29,19,22,13,7,19,286.6,31,28,0.1,59,13,2,2,2,4,3,2,1,2,N
21,17,20,9,2,17,355,38,33,0.1,71,10,2,2,3,6,5,3,2,1,N
25,21,21,17,3,21,333.7,40,28,0.1,68,19,6,4,6,12,7,4,3,0,N
15,12,13,13,2,12,178.8,25,14,0.1,39,15,6,3,6,12,7,4,3,0,N
15,12,13,13,2,12,178.8,25,14,0.1,39,15,6,3,6,12,7,4,3,0,Y
89,52,36,31,17,52,1026.6,99,77,0.3,176,37,14,7,14,28,15,8,7,19,N
39,17,33,17,11,17,681,63,61,0.2,124,18,2,2,3,6,5,3,2,10,N
107,63,52,65,25,63,1466.1,130,110,0.5,240,77,18,12,19,38,25,14,10,18,Y
77,52,54,58,13,52,1258.4,111,95,0.4,206,69,16,10,20,40,25,13,12,11,Y
73,44,40,46,15,44,1104.9,98,94,0.4,192,50,6,5,8,16,11,6,5,13,N
11,10,12,12,0,10,151.3,23,12,0.1,35,14,6,2,6,12,7,4,3,0,N
69,45,55,48,12,45,1156.2,101,87,0.4,188,58,16,9,19,38,23,12,11,11,Y
23,17,15,21,2,17,310.2,42,24,0.1,66,26,8,6,10,20,13,7,6,3,N
24,18,16,22,2,18,389.9,50,32,0.1,82,27,8,6,10,20,13,7,6,3,N
23,17,15,13,5,17,237.7,28,22,0.1,50,16,6,3,7,14,9,5,4,0,N
11,10,11,12,0,10,174.2,26,15,0.1,41,14,6,2,6,12,7,4,3,0,Y
22,13,22,12,5,13,292.3,31,28,0.1,59,14,4,4,5,10,7,4,3,3,N
17,11,8,11,3,11,100.4,16,12,0,28,11,2,2,2,4,3,2,1,2,N
20,13,14,12,4,13,190.2,25,19,0.1,44,12,2,2,2,4,3,2,1,2,N
30,19,21,29,6,19,369.2,41,35,0.1,76,34,8,7,10,20,13,7,6,4,N
13,10,17,19,0,10,224.7,28,21,0.1,49,23,4,6,7,14,11,6,5,2,N
27,20,18,16,4,20,335,38,29,0.1,67,20,6,4,8,16,11,6,5,2,N
15,12,10,13,2,12,142.6,22,11,0.1,33,15,6,3,6,12,7,4,3,0,N
15,12,12,13,2,12,176.4,25,14,0.1,39,15,6,3,6,12,7,4,3,0,N
40,30,30,18,6,30,646.3,63,54,0.2,117,19,4,3,4,8,5,3,2,3,N
13,9,15,14,2,9,223.5,28,19,0.1,47,16,2,2,4,8,7,4,3,1,N
13,9,13,14,2,9,188,25,16,0.1,41,16,2,2,4,8,7,4,3,1,N
13,9,15,14,2,9,223.5,28,19,0.1,47,16,2,2,4,8,7,4,3,1,Y
13,9,15,14,2,9,223.5,28,19,0.1,47,16,2,2,4,8,7,4,3,1,N
42,27,25,11,9,27,748.8,79,59,0.3,138,12,4,2,4,8,5,3,2,5,N
18,14,13,8,3,14,185.8,25,15,0.1,40,8,2,2,2,4,3,2,1,0,N
111,40,34,25,20,48,857.5,86,63,0.3,149,29,10,5,10,20,11,6,5,42,N
65,48,30,20,12,48,873.5,101,59,0.3,160,21,4,3,4,8,5,3,2,4,N
17,9,7,11,1,9,86,14,8,0,22,14,2,3,5,10,9,5,4,6,N
52,31,36,32,10,31,1088.3,103,87,0.4,190,39,12,3,15,28,17,9,8,10,N
84,50,54,32,16,50,1557.5,154,89,0.5,243,46,6,5,6,12,20,16,3,17,N
12,10,11,7,1,10,129.7,16,14,0,30,7,2,2,2,4,3,2,1,0,N
65,44,43,19,10,47,895.5,78,73,0.3,151,20,4,3,4,8,5,3,2,7,N
101,66,56,65,22,66,1231.9,105,91,0.4,196,81,30,3,31,62,35,18,16,12,N
23,9,20,9,5,9,504.8,62,43,0.2,105,9,2,2,2,4,3,2,1,8,N
54,35,29,33,8,35,726.1,82,51,0.2,133,40,16,5,16,32,17,9,8,10,N
8,6,6,6,0,6,89.9,14,8,0,22,6,2,2,2,4,3,2,1,1,N
55,43,48,34,6,43,1353.6,126,90,0.5,216,51,8,3,8,16,24,19,4,5,N
54,40,34,36,8,40,1382.7,137,108,0.5,245,43,12,1,12,24,16,9,6,5,N
21,14,17,8,2,14,211.5,27,18,0.1,45,8,2,2,2,4,3,2,1,4,N
5,4,3,5,0,4,45,9,4,0,13,5,2,1,2,4,3,2,1,0,N
78,50,46,48,11,50,1398,126,107,0.5,233,55,12,7,13,26,17,9,7,16,N
33,18,17,13,3,18,389.8,42,34,0.1,76,16,4,3,6,12,9,5,4,11,N
7,5,5,7,1,5,66.6,9,9,0,18,7,2,2,2,4,3,2,1,0,N
13,9,9,8,1,9,110.5,13,13,0,26,8,2,2,2,4,3,2,1,2,N
86,58,44,48,14,58,1225.4,112,90,0.4,202,58,18,9,19,38,23,12,10,13,N
20,13,7,10,2,13,197.7,28,17,0.1,45,11,4,2,4,8,5,3,2,4,N
63,40,38,34,10,40,857.4,80,67,0.3,147,38,8,6,8,16,11,6,4,12,N
66,42,37,35,10,42,953,91,71,0.3,162,43,12,7,14,28,19,10,8,13,N
48,23,18,18,6,23,381.5,46,31,0.1,77,19,4,3,4,8,5,3,2,18,N
12,10,8,7,0,10,172,22,21,0.1,43,7,2,1,2,4,3,2,1,1,N
39,24,22,18,11,24,812.5,80,84,0.3,164,18,2,2,2,4,3,2,1,3,N
25,19,21,17,5,19,787,82,80,0.3,162,17,2,2,2,4,3,2,1,0,N
30,21,20,7,5,21,361.7,36,37,0.1,73,7,2,2,2,4,3,2,1,3,N
20,9,6,8,4,9,126.7,18,13,0,31,9,4,1,4,8,5,3,2,6,N
34,17,28,17,9,17,382.6,39,35,0.1,74,19,6,4,6,12,7,4,3,7,N
15,12,12,12,1,12,152.9,19,17,0.1,36,13,4,3,4,8,5,3,2,1,N
45,25,25,34,11,25,578.3,60,51,0.2,111,41,8,4,12,24,17,9,8,8,N
42,31,49,62,8,31,1636.9,161,115,0.6,276,75,28,15,28,56,29,15,14,2,N
51,26,24,21,10,26,442.8,48,37,0.2,85,23,6,2,6,12,7,4,3,14,N
12,8,12,11,3,8,120.9,15,14,0,29,12,4,3,4,8,5,3,2,0,N
17,11,15,12,4,11,168.6,21,18,0.1,39,12,2,2,2,4,3,2,1,1,N
18,10,21,10,5,10,245.2,26,25,0.1,51,10,2,2,2,4,3,2,1,2,N
5,4,5,6,0,4,36.5,6,5,0,11,6,2,2,2,4,3,2,1,0,N
168,112,88,110,30,112,3306.4,257,226,1.1,483,134,36,20,41,82,50,26,23,25,Y
13,9,14,12,3,9,162.5,19,18,0.1,37,13,4,3,4,8,5,3,2,0,N
15,9,12,9,3,9,142.6,17,16,0.1,33,9,2,2,2,4,3,2,1,2,N
27,17,17,12,3,17,223.5,28,19,0.1,47,13,4,3,4,8,5,3,2,6,N
10,9,6,7,0,9,64.5,12,6,0,18,7,2,2,2,4,3,2,1,0,N
26,16,18,14,7,16,237.7,28,22,0.1,50,15,4,3,4,8,5,3,2,2,N
22,20,18,12,1,20,250,31,21,0.1,52,13,4,3,4,8,5,3,2,0,N
8,7,3,5,0,7,36,7,5,0,12,5,2,2,2,4,3,2,1,0,N
31,24,32,29,4,24,494.9,51,42,0.2,93,32,6,5,6,12,9,5,3,2,N
43,34,38,31,6,34,767.4,70,61,0.3,131,37,12,7,13,26,15,8,7,2,N
24,20,14,13,3,20,236.8,32,19,0.1,51,15,2,4,2,4,6,4,1,0,N
8,7,3,5,0,7,36,7,5,0,12,5,2,2,2,4,3,2,1,0,N
31,24,35,28,4,24,553.5,55,47,0.2,102,30,4,4,4,8,7,4,2,2,N
15,13,11,8,1,13,120.9,15,14,0,29,8,2,2,2,4,3,2,1,0,N
24,20,14,13,3,20,236.8,32,19,0.1,51,15,2,4,2,4,6,4,1,0,N
45,37,33,45,3,38,600.1,61,51,0.2,112,63,4,20,20,40,39,20,18,3,N
54,41,35,51,5,42,667.4,67,56,0.2,123,72,4,23,23,46,45,23,21,6,N
8,7,9,7,0,7,84,12,9,0,21,7,2,2,2,4,3,2,1,0,N
32,23,34,23,5,23,553.5,55,47,0.2,102,24,2,3,2,4,5,3,1,3,N
20,10,13,15,4,10,204.5,23,20,0.1,43,18,6,4,8,16,9,5,5,5,N
43,31,22,25,6,31,496.8,58,36,0.2,94,32,6,6,7,14,15,9,4,5,N
26,17,17,11,3,18,275.8,34,24,0.1,58,11,2,2,2,4,3,2,1,4,N
54,28,32,23,9,28,754.4,74,59,0.3,133,27,10,5,11,22,11,6,6,16,N
24,16,14,14,3,16,194.5,22,21,0.1,43,16,6,3,6,12,7,4,3,4,N
20,16,13,17,2,16,178.4,24,18,0.1,42,19,6,4,6,12,7,4,3,1,N
31,25,20,27,4,25,373.3,42,32,0.1,74,32,10,6,11,22,13,7,6,1,N
47,29,33,20,9,29,539,50,46,0.2,96,22,6,3,6,12,7,4,3,8,Y
13,10,16,10,2,10,267.2,28,27,0.1,55,10,2,2,2,4,3,2,1,0,N
46,32,41,31,9,32,686.4,67,54,0.2,121,34,6,5,6,12,9,5,3,4,Y
27,20,25,8,4,20,351.6,35,33,0.1,68,8,2,2,2,4,3,2,1,2,Y
27,22,18,14,4,22,327,41,25,0.1,66,17,2,5,2,4,7,5,1,0,N
48,39,41,26,5,39,604.3,58,48,0.2,106,31,10,7,11,22,13,7,6,3,N
17,13,12,9,3,13,187.3,22,20,0.1,42,10,4,3,4,8,5,3,2,0,N
61,49,36,26,11,49,1201.4,115,86,0.4,201,35,10,6,12,24,19,11,7,0,N
45,37,35,17,3,37,730.9,76,51,0.2,127,20,2,5,2,4,7,5,1,4,N
11,8,7,7,2,8,125.3,16,13,0,29,7,2,2,2,4,3,2,1,0,N
171,110,53,59,34,111,2168.5,190,155,0.7,345,71,26,8,26,52,27,14,13,25,N
18,12,12,9,3,12,129.7,16,14,0,30,10,4,1,4,8,5,3,2,2,N
18,12,12,9,3,12,129.7,16,14,0,30,10,4,1,4,8,5,3,2,2,N
27,14,13,10,5,14,218.7,26,20,0.1,46,12,4,1,5,10,7,4,3,7,N
22,9,9,8,3,9,145,17,16,0.1,33,8,2,2,2,4,3,2,1,9,N
10,5,5,7,2,5,50.2,7,7,0,14,7,2,2,2,4,3,2,1,2,N
28,21,21,16,3,21,614,63,54,0.2,117,20,2,2,2,4,8,6,1,3,N
68,52,50,48,10,52,1135.4,102,91,0.4,193,53,10,7,10,20,13,7,5,5,N
34,27,25,15,4,27,434.1,46,34,0.1,80,17,2,4,2,4,6,4,1,2,N
53,37,38,24,7,37,1073.5,94,87,0.4,181,28,10,5,10,20,11,6,5,8,N
18,16,17,17,1,16,264.7,29,28,0.1,57,21,10,6,10,20,11,6,5,0,N
16,14,20,15,0,14,387.6,44,35,0.1,79,24,2,1,18,22,21,11,10,1,N
15,8,7,6,3,8,130.8,19,13,0,32,6,2,1,2,4,3,2,1,3,N
17,9,6,6,3,9,97.7,15,10,0,25,6,2,1,2,4,3,2,1,4,N
16,11,11,11,3,11,216.6,27,26,0.1,53,11,2,2,2,4,3,2,1,1,N
