PERCENT_COMMENTS,PARAMETER_COUNT,LOC_COMMENTS,LOC_CODE_AND_COMMENT,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,BRANCH_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,LOC_TOTAL,DESIGN_DENSITY,CALL_PAIRS,NODE_COUNT,NUMBER_OF_LINES,HALSTEAD_LENGTH,MAINTENANCE_SEVERITY,HALSTEAD_DIFFICULTY,NUM_OPERATORS,DECISION_COUNT,CONDITION_COUNT,Defective
82.4,4,0,14,9,14,7,3,14.3,17,0.3,1,12,20,91,0.3,28.8,54,6,12,N
82.4,5,0,14,10,14,7,3,16,17,0.5,2,13,20,95,0.3,27.3,56,6,12,N
80,3,0,4,3,7,7,1,8.1,5,0.3,0,10,8,17,0.3,7,11,6,12,N
50,3,0,1,2,5,3,1,7.9,2,0.5,0,5,4,7,0.5,2.5,5,2,4,N
93.8,3,14,1,2,5,3,1,7.9,2,0.5,0,5,18,7,0.5,2.5,5,2,4,N
71.4,3,0,5,4,9,3,2,7.1,7,1,1,7,10,26,0.5,13.5,14,2,4,N
71.4,4,0,5,5,9,3,2,9.1,7,1,1,7,11,30,0.5,12.6,16,2,4,N
0,4,0,0,3,5,3,2,10.8,2,0.5,0,6,5,12,0.5,3.3,8,2,4,N
0,4,0,0,3,5,3,2,10.8,2,0.5,0,6,5,12,0.5,3.3,8,2,4,N
0,4,0,0,3,5,3,2,10.8,2,0.5,0,6,5,12,0.5,3.3,8,2,4,N
87.1,5,1,26,19,13,7,4,31.4,30,1,6,19,34,116,1,18.5,62,6,12,N
87.1,4,1,26,18,14,7,4,27.8,30,0.8,5,17,34,108,1,19.4,58,6,12,N
84.6,5,1,21,15,14,7,4,22.2,25,1,3,15,30,94,1,20.5,50,6,12,N
84.6,4,1,21,14,15,7,4,19.5,25,0.5,2,13,29,86,1,21.4,46,6,12,N
75,2,0,6,5,8,3,2,9.9,8,1,2,7,11,30,0.5,11.2,16,2,4,N
75,3,0,6,6,8,3,2,12.1,8,1,2,7,11,36,0.5,11.3,19,2,4,N
75,2,0,6,4,7,3,2,8.8,8,0.5,0,6,10,20,0.5,7.9,11,2,4,N
83.3,7,0,10,15,10,3,2,32.7,12,1,6,10,17,75,0.5,10.7,43,2,4,N
83.3,8,0,10,16,10,3,2,35,12,1,6,10,18,79,0.5,10.6,45,2,4,N
92.3,4,0,12,16,11,5,1,27.7,13,0.7,6,16,18,80,0.3,13.8,40,4,8,N
81.8,2,0,9,8,10,3,2,13.9,11,1,3,9,14,50,0.5,15,26,2,4,N
81.8,3,0,9,9,10,3,2,15.8,11,1,3,9,14,58,0.5,15.6,30,2,4,N
75,2,0,3,6,11,5,1,9.3,4,0.7,2,11,6,25,0.3,11,13,4,8,N
75,3,0,3,7,11,5,1,11,4,0.7,2,11,7,27,0.3,10.2,14,4,8,N
77.8,3,0,7,6,9,3,2,12,9,1,2,6,12,30,0.5,9.8,17,2,4,N
77.8,4,0,7,7,8,3,2,15.5,9,1,3,7,12,34,0.5,8.6,19,2,4,N
86.4,5,1,18,14,13,5,3,22.5,21,0.7,4,13,26,68,0.3,14.4,37,4,8,N
86.4,4,1,18,13,14,5,3,19.4,21,0.7,3,12,26,66,0.3,16.1,36,4,8,N
83.3,5,1,14,10,13,5,3,15.1,17,0.7,1,10,23,50,0.3,15,27,4,8,N
83.3,4,1,14,9,12,5,3,14.4,17,0.3,0,9,22,48,0.3,14.7,26,4,8,N
80,5,0,8,10,14,5,2,15.4,10,0.7,1,9,13,40,1,11.9,23,4,8,N
77.8,4,0,7,9,14,5,2,13.8,9,0.7,1,9,12,38,1,12.4,22,4,8,N
92.9,3,0,13,3,5,11,1,8.8,14,0.2,0,16,16,39,0.2,13.3,23,10,20,N
92.9,4,0,13,4,6,11,1,10.3,14,0.7,1,21,16,49,0.2,15.8,28,10,20,N
85.4,8,0,35,26,13,9,6,43.4,41,0.8,10,27,46,199,0.6,24.3,102,6,14,N
85.4,9,0,35,27,13,9,6,45.3,41,0.8,10,27,46,211,0.6,24.8,108,6,14,N
80,5,0,16,7,14,13,4,11.6,20,0.7,1,20,26,92,1,35,57,12,24,N
80,6,0,16,8,13,13,4,14.1,20,1,2,21,27,94,1,29.3,58,12,24,N
83.3,4,2,8,9,11,3,2,14.4,10,1,2,8,16,63,0.5,18.9,32,2,4,N
83.3,5,2,8,10,11,3,2,16.2,10,1,2,8,17,67,0.5,18.2,34,2,4,N
85.7,5,2,10,10,9,3,2,18.5,12,1,2,8,18,49,0.5,11.3,24,2,4,N
85.7,6,2,10,11,9,3,2,20.8,12,1,2,8,18,55,0.5,11.5,27,2,4,N
87.9,5,0,29,21,16,11,4,29,33,0.7,8,27,38,161,0.5,29,85,8,18,N
87.9,6,0,29,22,15,11,4,32.3,33,0.8,9,28,38,171,0.5,27.6,90,8,18,N
83.3,4,0,10,11,14,5,2,16.7,12,0.7,3,11,15,55,0.3,15.3,31,4,8,N
83.3,5,0,10,12,14,5,2,18.2,12,0.7,3,11,15,61,0.3,15.8,34,4,8,N
83.3,4,0,5,9,8,5,1,19.3,6,0.7,4,12,9,42,0.3,8.9,22,4,8,N
83.3,5,0,5,10,8,5,1,21.7,6,1,5,13,9,50,0.3,9.6,26,4,8,N
87.5,7,0,14,12,14,11,2,18.7,16,0.7,4,18,22,81,0.7,20.4,46,8,18,N
87.5,6,0,14,11,15,11,2,16.2,16,0.5,3,17,22,73,0.7,21.1,42,8,18,N
77.8,4,0,7,7,12,5,2,12.5,9,0.3,0,7,12,53,1,18,32,2,6,N
77.8,5,0,7,8,13,5,2,13.5,9,0.7,1,8,12,55,1,17.9,33,2,6,N
76.5,3,0,13,10,14,5,4,15.1,17,1,3,10,20,67,0.3,20.3,38,4,8,N
76.5,4,0,13,11,14,5,4,16.6,17,1,3,10,20,75,0.3,21,42,4,8,N
75,3,0,3,7,12,5,1,10.6,4,0.7,2,11,7,32,0.3,12.9,17,4,8,N
83.3,2,0,5,4,11,7,1,7.5,6,0.5,1,9,9,21,1,11,13,4,10,N
50,2,0,1,3,8,3,1,6.8,2,1,1,6,5,13,0.5,6.7,8,2,4,N
75,4,0,9,5,10,7,3,9.5,12,0.5,1,15,15,34,0.8,14,20,6,12,N
80,4,0,4,7,8,3,1,14.1,5,1,3,8,9,31,0.5,8.6,16,2,4,N
80,7,0,16,12,10,7,4,23.3,20,0.8,4,14,27,87,0.8,16.7,47,4,10,N
85.7,5,0,12,7,12,5,2,11,14,0.3,0,9,17,49,0.3,18.9,27,4,8,N
88,7,3,19,14,18,11,3,17.9,22,0.3,3,21,29,85,0.8,23.8,48,10,20,N
88,6,3,19,13,17,11,3,17.1,22,0.2,2,20,29,82,0.8,23.5,46,10,20,N
88.9,5,4,20,13,19,13,3,15,23,0.1,2,18,30,79,1,26.3,43,10,22,N
88.9,6,4,20,14,20,13,3,15.8,23,0.3,3,19,31,82,1,26.4,45,10,22,N
90.9,5,0,10,13,9,3,1,29.4,11,1,5,9,16,57,0.5,8.7,32,2,4,N
84.4,8,0,38,22,19,15,7,28.7,45,0.5,7,31,52,183,0.5,34.1,104,12,26,N
87.5,4,1,6,11,7,3,1,26.9,7,1,5,10,13,41,0.5,6.4,21,2,4,N
81.8,4,0,9,12,10,3,2,25.4,11,1,6,10,15,64,0.5,11.3,37,2,4,N
81.8,5,0,9,13,10,3,2,27.6,11,1,6,10,15,68,0.5,11.2,39,2,4,N
80,5,0,12,13,11,3,3,23.8,15,1,3,9,19,99,0.5,19,54,2,4,N
82.4,6,0,14,14,11,3,3,25.8,17,1,3,9,21,109,0.5,19.6,59,2,4,N
66.7,3,0,2,5,7,3,1,10.2,3,1,1,8,6,16,0.5,5.6,8,2,4,N
66.7,4,0,2,6,7,3,1,12.7,3,1,1,8,7,18,0.5,5.3,9,2,4,N
77.8,2,0,7,3,7,3,2,7.7,9,0.5,0,6,11,27,0.5,11.7,17,2,4,N
77.8,3,0,7,4,8,3,2,9.5,9,1,1,7,11,29,0.5,11,18,2,4,N
80,3,0,8,5,13,9,2,8.8,10,0.4,1,15,14,41,0.6,19.5,26,8,16,N
80,4,0,8,6,13,9,2,10.4,10,1,2,17,14,45,0.6,18.4,28,8,16,N
80,3,0,4,3,9,5,1,7.7,5,0.3,0,7,8,29,0.3,13.5,20,4,8,N
80,4,0,4,4,12,5,1,8.5,5,0.7,1,8,10,32,0.3,15,22,4,8,N
75,5,0,9,5,12,5,3,10,12,0.7,1,8,16,38,0.3,15.6,25,4,8,N
75,4,0,9,4,9,5,3,9.6,12,0.3,0,7,15,35,0.3,13.5,23,4,8,N
85.7,5,1,17,14,13,5,3,22.5,20,0.7,4,13,25,68,0.3,14.4,37,4,8,N
86.4,4,1,18,13,14,5,3,19.4,21,0.7,3,12,26,66,0.3,16.1,36,4,8,N
82.4,5,1,13,10,13,5,3,15.1,16,0.7,1,10,22,50,0.3,15,27,4,8,N
83.3,4,1,14,9,12,5,3,14.4,17,0.3,0,9,22,48,0.3,14.7,26,4,8,N
50,1,0,1,2,6,3,1,5,2,0.5,0,6,4,10,0.5,6,6,2,4,N
75,1,0,3,7,9,5,1,14.4,4,1,4,12,6,30,0.3,8.4,17,4,8,N
77.8,2,0,7,3,10,7,2,5.7,9,0.3,0,11,11,31,1,20,19,6,12,N
77.8,3,0,7,4,12,7,2,6.8,9,0.5,1,12,12,33,1,19.5,20,6,12,N
83.3,2,4,6,9,11,3,2,19.8,8,1,2,7,14,28,0.5,6.1,18,2,4,N
83.3,2,4,6,9,11,3,2,19.8,8,1,2,7,14,28,0.5,6.1,18,2,4,N
91.7,3,6,5,13,14,5,1,24.1,6,1,7,16,17,60,0.3,11.9,38,4,8,N
66.7,1,0,2,6,6,3,1,16.7,3,1,4,9,5,21,0.5,4.5,12,2,4,N
75,3,0,3,10,11,3,1,19.7,4,1,5,10,9,37,0.5,8.3,22,2,4,N
66.7,1,0,2,6,9,3,1,13.4,3,1,2,6,5,18,0.5,5.3,11,2,4,N
66.7,1,0,2,6,9,3,1,13.4,3,1,2,6,5,18,0.5,5.3,11,2,4,N
66.7,1,0,2,5,9,3,1,10.2,3,1,2,8,5,24,0.5,9,14,2,4,N
88.9,4,2,6,16,15,5,1,23.9,7,0.7,7,15,15,61,0.3,12.7,34,4,8,N
87.5,2,2,5,11,10,3,1,20.9,6,1,5,9,12,39,0.5,8.2,21,2,4,N
80,3,0,4,8,10,3,1,19.4,5,1,4,10,9,29,0.5,6.3,19,2,4,N
85.7,3,2,4,10,10,3,1,19.5,5,1,4,8,12,36,0.5,8,20,2,4,N
85.7,3,2,4,11,13,5,1,17.8,5,1,4,11,12,39,0.3,10.1,22,4,8,N
83.3,0,2,3,3,6,3,1,11.1,4,1,6,11,8,14,0.5,4,10,2,4,N
83.3,1,2,3,5,8,5,1,13.2,4,1,7,13,8,20,1,5.6,13,2,6,N
50,3,0,1,3,8,7,1,7.1,2,0.3,0,7,4,22,0.8,10.7,14,2,10,N
50,2,0,1,3,6,1,1,9.5,2,1,1,3,5,9,1,3,6,2,4,N
66.7,3,0,2,5,11,3,1,9.1,3,0.5,1,6,6,20,0.5,8.8,12,2,6,N
66.7,4,0,2,6,9,3,1,12,3,1,2,6,6,23,0.5,7.5,13,2,6,N
75,1,0,6,8,12,5,2,16.5,8,1,6,13,10,43,1,11.3,28,2,6,N
92.3,3,4,8,15,17,7,1,19.6,9,0.5,5,17,18,60,0.3,15.3,33,6,12,N
85,3,0,34,15,15,17,6,24.8,40,0.3,2,29,44,116,0.3,23,70,16,32,N
80,3,0,4,11,11,3,1,20.2,5,1,4,9,9,34,0.5,7.5,19,2,4,N
66.7,3,0,2,3,8,3,1,8.3,3,0.5,0,5,6,16,0.5,6.7,11,2,4,N
66.7,3,0,2,3,8,3,1,8.3,3,0.5,0,5,7,16,0.5,6.7,11,2,4,N
66.7,4,0,2,4,8,5,1,10,3,0.3,0,7,5,14,0.3,5,9,4,8,N
66.7,4,0,2,4,8,5,1,10,3,0.7,1,8,6,14,0.3,5,9,4,8,N
50,0,0,1,3,7,3,1,7.8,2,0.5,1,7,4,11,0.5,4.7,7,2,4,N
66.7,2,0,4,3,6,3,2,8.2,6,1,1,6,8,13,0.5,5,8,2,4,N
75,1,0,3,2,12,3,1,7.2,4,0.5,0,5,6,17,0.5,9,14,2,4,N
50,0,0,1,3,7,3,1,9.3,2,1,2,7,4,13,0.5,4.7,9,2,4,N
80,1,0,4,9,11,7,1,18,5,0.5,2,11,7,33,0.3,7.9,20,6,12,N
50,3,0,1,3,7,3,1,7.8,2,0.5,0,5,4,11,0.5,4.7,7,2,4,N
66.7,3,0,2,4,9,3,1,9.9,3,0.5,0,5,5,15,0.5,5.6,10,2,4,N
80,2,4,12,12,16,9,4,18.2,16,1,3,21,24,53,1,14,32,8,16,N
85.3,2,1,28,13,22,13,5,16.7,33,0.7,4,32,37,99,1,30.5,63,6,18,N
75,3,0,3,3,8,5,1,6.9,4,0.3,0,6,6,16,1,8,10,2,6,N
77.8,4,0,7,7,9,3,2,13.2,9,1,1,8,14,36,0.5,10.9,19,2,4,N
77.8,5,0,7,8,9,3,2,15.3,9,1,1,8,15,40,0.5,10.7,21,2,4,N
76.5,2,1,12,12,13,9,4,20.8,16,1,3,20,21,46,1,10.3,27,8,16,N
77.8,2,1,6,9,10,7,2,17.3,8,1,3,16,13,34,1,8.3,19,6,12,N
77.8,4,0,7,6,10,5,2,11.8,9,0.7,1,9,12,27,1,9.2,16,4,8,N
77.8,5,0,7,8,10,5,2,15.9,9,0.7,2,10,13,31,1,8.1,18,4,8,N
66.7,3,0,2,3,10,5,1,6.3,3,0.7,1,7,5,17,1,10,11,2,6,N
79,2,2,13,15,17,11,4,20.1,17,0.7,4,25,23,57,0.8,14.2,32,10,20,N
81.8,2,2,7,12,14,9,2,17.3,9,1,4,21,15,45,0.8,12.3,24,8,16,N
81.8,2,0,9,10,14,7,2,14.4,11,1,4,20,14,46,1,14.7,25,6,12,N
80,2,0,12,12,18,7,3,14.8,15,0.5,5,25,18,70,0.8,23.3,39,6,12,N
81.8,2,0,9,10,16,7,2,12.5,11,1,4,20,14,49,1,18.4,26,6,12,N
75,1,0,3,6,8,3,1,12.1,4,0.5,2,8,6,17,0.5,5.3,9,2,4,N
66.7,3,0,2,3,8,3,1,7.3,3,1,1,6,5,14,0.5,6.7,9,2,4,N
50,3,0,1,3,8,3,1,7.8,2,1,1,6,4,12,0.5,5.3,8,2,4,N
66.7,3,0,2,4,10,3,1,9.8,3,1,1,6,5,16,0.5,6.3,11,2,4,N
80,2,0,4,6,13,3,1,11.8,5,0.5,1,6,7,30,0.5,10.8,20,2,4,N
87,3,2,18,9,12,9,3,18.1,21,0.8,5,19,25,63,0.8,15.3,40,8,16,N
92,3,8,15,10,20,5,2,14.3,17,0.7,7,18,29,73,0.3,25,48,4,8,N
81.8,4,0,9,5,12,9,2,9.5,11,0.2,0,12,14,39,0.8,16.8,25,6,14,N
81.8,5,0,9,6,12,9,2,11.2,11,0.6,1,14,14,43,0.8,16,27,6,14,N
75,3,0,3,6,9,5,1,11.7,4,0.7,3,8,8,27,0.3,9,15,2,6,N
75,4,0,3,7,9,5,1,13.9,4,0.7,3,8,8,29,0.3,8.4,16,2,6,N
85.7,4,2,4,14,13,7,1,24.5,5,1,6,15,13,55,0.8,10.7,32,4,10,N
89.5,3,0,17,13,14,8,2,24.2,19,0.3,1,12,22,52,0.2,10.2,33,2,4,N
50,1,0,1,4,5,5,1,11.8,2,1,3,8,4,14,0.3,3.8,8,2,8,N
50,1,0,1,3,5,3,1,9,2,1,2,6,4,10,0.5,3.3,6,2,6,N
50,1,0,1,3,5,3,1,9,2,0.5,0,5,4,10,0.5,3.3,6,2,6,N
50,2,0,1,3,8,1,1,11.2,2,1,1,3,4,13,1,4,10,2,4,N
75,0,0,3,5,8,7,1,10.9,4,0.3,0,13,6,26,0.3,8.8,15,6,12,N
80,1,0,4,8,11,7,1,16.5,5,0.3,1,12,7,32,0.3,8.3,20,6,12,N
80,1,0,4,9,12,7,1,17.7,5,0.3,1,12,7,35,0.3,8.7,22,6,12,N
50,1,0,1,3,6,3,1,7.9,2,0.5,0,5,4,10,0.5,4,6,2,6,N
83.3,1,0,5,7,7,9,1,19.3,6,0.2,1,15,8,33,0.2,6.5,20,8,16,N
85.7,1,0,6,8,7,11,1,22.3,7,0.2,1,18,9,40,0.2,7,24,10,20,N
75,1,0,3,7,10,5,1,15.9,4,0.3,1,9,6,25,0.3,6.4,16,4,8,N
83.3,1,0,5,7,7,9,1,19.3,6,0.2,1,15,8,33,0.2,6.5,20,8,16,N
66.7,1,0,2,10,11,3,1,21.8,3,0.5,1,6,5,30,0.5,6.1,19,2,4,N
71.4,4,0,5,6,11,11,2,12.4,7,0.2,0,14,10,39,0.8,12.8,25,8,20,N
71.4,5,0,5,7,12,11,2,13.3,7,0.5,1,16,11,43,0.8,13.7,27,8,20,N
0,2,0,0,2,4,3,0,7.8,0,0.5,0,5,1,6,0.5,2,4,2,6,N
0,1,0,0,1,4,1,0,5.8,0,1,0,2,1,5,1,2,4,2,4,N
0,2,0,0,2,4,3,0,7.8,0,0.5,0,5,1,6,0.5,2,4,2,6,N
75,2,0,3,6,9,3,1,12,4,1,3,7,6,23,0.5,7.5,13,2,4,N
75,3,0,3,7,9,3,1,14.1,4,1,3,7,7,25,0.5,7.1,14,2,4,N
80,2,0,4,2,5,3,1,6.2,5,0.5,0,6,7,11,0.5,5,7,2,4,N
50,3,0,1,3,6,3,1,7,2,0.5,1,7,4,11,0.5,5,6,2,4,N
83.3,2,0,5,3,11,7,1,5.1,6,0.3,0,10,8,27,0.3,20.2,16,6,12,N
83.3,3,0,5,4,12,7,1,6.4,6,0.5,1,11,9,29,0.3,18,17,6,12,N
50,2,0,1,2,5,3,1,5.1,2,0.5,0,6,4,9,0.5,5,5,2,4,N
50,2,0,1,2,5,3,1,5.1,2,0.5,0,6,4,9,0.5,5,5,2,4,N
77.8,5,0,7,6,13,7,2,10.8,9,0.3,1,11,13,47,0.8,18.4,30,4,10,N
77.8,6,0,7,7,12,7,2,13.5,9,0.5,2,12,13,49,0.8,15.4,31,4,10,N
80,2,0,4,2,5,3,1,6.2,5,0.5,0,6,7,11,0.5,5,7,2,4,N
50,3,0,1,3,6,3,1,7,2,0.5,1,7,4,11,0.5,5,6,2,4,N
83.3,2,0,5,3,11,7,1,5.1,6,0.3,0,10,8,27,0.3,20.2,16,6,12,N
83.3,3,0,5,4,12,7,1,6.4,6,0.5,1,11,9,29,0.3,18,17,6,12,N
50,2,0,1,2,5,3,1,5.1,2,0.5,0,6,4,9,0.5,5,5,2,4,N
50,2,0,1,2,5,3,1,5.1,2,0.5,0,6,4,9,0.5,5,5,2,4,N
75,3,0,6,4,10,5,2,8.1,8,0.3,0,7,12,24,1,11.3,15,2,6,N
75,4,0,6,5,10,5,2,10.2,8,0.7,1,8,13,26,1,10,16,2,6,N
84.6,2,1,21,9,15,11,4,13.9,25,0.5,2,23,29,76,0.8,25,46,10,20,N
84.6,3,1,21,10,13,11,4,17.2,25,0.8,3,25,29,79,0.8,20.8,47,10,20,N
66.7,3,0,2,5,8,3,1,11,3,1,2,6,6,19,0.5,6.4,11,2,4,N
66.7,4,0,2,6,8,3,1,13.3,3,1,2,6,6,21,0.5,6,12,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
75,1,0,3,7,9,3,1,16.3,4,1,3,7,6,21,0.5,5.1,13,2,4,N
66.7,1,0,2,7,10,5,1,14.3,3,1,3,11,5,25,0.3,7.1,15,4,8,N
87.5,2,0,14,11,13,3,2,20.4,16,0.5,6,16,19,92,0.5,20.7,57,2,4,N
50,2,0,1,5,7,3,1,12.3,2,0.5,1,7,6,12,0.5,3.5,7,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,2,9,5,1,5.9,2,0.3,0,6,4,23,0.3,13.5,17,2,8,N
90.9,2,0,10,8,15,11,1,12,11,1,5,31,14,82,0.2,30.9,49,10,20,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
80,1,2,14,14,16,7,4,25.8,18,1,13,25,22,81,0.3,15.4,54,6,12,N
83.3,2,4,1,3,8,1,1,11.2,2,1,1,3,8,13,1,4,10,2,4,N
50,2,0,1,5,7,3,1,12.3,2,0.5,1,7,6,12,0.5,3.5,7,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
66.7,2,0,2,3,7,7,1,8.5,3,0.3,0,7,6,24,0.8,9.3,16,2,10,N
50,2,0,1,2,6,3,1,7,2,0.5,0,5,4,14,0.5,6,10,2,6,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,6,7,3,1,14.8,2,0.5,2,8,6,14,0.5,3.5,8,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
88.2,2,3,12,8,11,11,2,15.5,14,0.8,5,20,20,60,1,16.5,36,4,14,N
75,1,0,3,3,7,3,1,9.7,4,0.5,0,5,6,17,0.5,5.8,12,2,4,N
66.7,3,0,2,5,8,3,1,11,3,1,2,6,7,19,0.5,6.4,11,2,4,N
66.7,4,0,2,6,8,3,1,13.3,3,1,2,6,7,21,0.5,6,12,2,4,N
80,4,0,4,7,7,3,1,15.9,5,1,3,8,9,25,0.5,6,13,2,4,N
80,5,0,4,8,7,3,1,18.6,5,1,3,8,9,27,0.5,5.7,14,2,4,N
84,3,0,21,5,13,15,4,9.1,25,0.6,2,26,28,57,1,26,37,14,28,N
66.7,2,0,2,4,8,3,1,8.7,3,1,2,6,5,17,0.5,7,10,2,4,N
66.7,3,0,2,5,8,3,1,11,3,1,2,6,6,19,0.5,6.4,11,2,4,N
77.8,2,0,7,8,10,5,2,12.9,9,0.3,1,11,11,27,0.3,8.8,13,4,8,N
80,2,0,8,9,11,7,2,14.1,10,0.5,2,15,12,34,0.3,10.4,17,6,12,N
84.6,2,1,21,9,15,11,4,13.9,25,0.5,2,23,29,76,0.8,25,46,10,20,N
84.6,3,1,21,10,13,11,4,17.2,25,0.8,3,25,29,79,0.8,20.8,47,10,20,N
75,2,0,3,5,8,3,1,10.8,4,1,3,7,6,21,0.5,7.2,12,2,4,N
75,3,0,3,6,8,3,1,13.1,4,1,3,7,7,23,0.5,6.7,13,2,4,N
0,1,0,0,3,8,3,0,7.8,0,1,1,6,2,12,0.5,5.3,8,2,4,N
75,3,0,3,6,12,5,1,8.9,4,0.7,2,11,7,30,0.3,14,16,4,8,N
80,1,0,4,4,9,5,1,8,5,0.7,1,7,7,17,1,7.9,10,2,6,N
85.7,1,0,6,4,10,9,1,7.9,7,0.8,2,13,9,31,1,15,19,4,12,N
80,1,0,4,4,9,5,1,8,5,0.7,1,7,7,17,1,7.9,10,2,6,N
85.7,1,0,6,4,10,9,1,7.9,7,0.8,2,13,9,31,1,15,19,4,12,N
90,2,0,9,10,11,5,1,17.1,10,0.3,0,9,12,30,1,7.7,16,4,8,N
75,3,0,3,6,9,3,1,10.8,4,1,2,7,7,29,0.5,10.5,15,2,4,N
80,2,0,4,9,11,3,1,17.2,5,1,5,10,7,34,0.5,8.6,20,2,4,N
71.4,4,0,5,4,9,5,2,9.9,7,0.3,0,8,10,24,0.3,9,16,4,8,N
71.4,4,0,5,4,11,5,2,8.9,7,0.7,1,9,10,25,0.3,11,17,4,8,N
75,3,0,3,6,9,3,1,10.8,4,1,2,7,7,29,0.5,10.5,15,2,4,N
73.3,4,0,11,9,11,9,4,17.5,15,0.8,4,13,18,42,0.8,10.4,25,6,14,N
66.7,4,0,4,4,9,5,2,8.9,6,0.3,0,8,9,19,0.3,7.9,12,4,8,N
91.4,6,22,31,30,21,29,5,39.5,36,0.9,20,64,66,234,0.7,33.6,138,18,46,N
71.4,5,0,5,5,10,5,2,10.9,7,0.3,0,9,11,25,0.3,9,16,4,8,N
80,5,0,8,5,10,5,2,11.7,10,0.7,1,10,14,30,0.3,10,20,4,8,N
66.7,4,0,4,4,9,5,2,8.9,6,0.7,1,9,9,19,0.3,7.9,12,4,8,N
50,1,0,1,3,5,3,1,9,2,1,2,6,4,10,0.5,3.3,6,2,4,N
85.7,2,1,5,9,13,7,1,14.4,6,1,4,14,9,35,0.3,10.8,20,6,12,N
66.7,3,0,2,3,9,3,1,7.7,3,0.5,0,5,7,16,0.5,7.5,11,2,4,N
