PERCENT_COMMENTS,PARAMETER_COUNT,LOC_COMMENTS,LOC_CODE_AND_COMMENT,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,BRANCH_COUNT,LOC_EXECUTABLE,HALSTEAD_CONTENT,LOC_TOTAL,DESIGN_DENSITY,CALL_PAIRS,NODE_COUNT,NUMBER_OF_LINES,HALSTEAD_LENGTH,MAINTENANCE_SEVERITY,HALSTEAD_DIFFICULTY,NUM_OPERATORS,DECISION_COUNT,CONDITION_COUNT,Defective
81,2,2,15,14,18,11,4,18.7,19,0.7,4,27,25,65,0.8,17.4,38,10,20,N
80,3,4,4,6,9,5,2,12.2,6,0.7,3,8,13,28,0.3,9,16,2,6,N
78.6,5,0,11,6,13,9,3,11.3,14,0.2,1,13,18,49,0.6,18.4,32,6,14,N
78.6,6,0,11,7,12,9,3,13.8,14,0.6,2,15,18,53,0.6,16.3,34,6,14,N
78.6,5,0,11,5,11,9,3,11.2,14,0.2,0,12,18,43,0.6,15.4,29,6,14,N
78.6,6,0,11,6,12,9,3,12.3,14,0.6,1,14,18,47,0.6,16,31,6,14,N
78.6,5,0,11,6,13,9,3,11.2,14,0.2,1,14,20,60,0.6,22.8,39,6,14,N
78.6,6,0,11,7,12,9,3,13.8,14,0.6,2,16,20,64,0.6,19.7,41,6,14,N
78.6,5,0,11,6,13,9,3,11.6,14,0.2,1,14,18,65,0.6,23.8,43,6,14,N
78.6,6,0,11,7,12,9,3,14.3,14,0.6,2,16,18,69,0.6,20.6,45,6,14,N
50,1,0,1,3,6,3,1,7.9,2,0.5,0,6,5,10,0.5,4,6,2,4,N
50,1,0,1,3,6,3,1,7,2,1,1,6,5,11,0.5,5,6,2,4,N
66.7,2,0,4,4,8,3,2,9,6,1,2,6,8,20,0.5,8,12,2,4,N
66.7,3,0,4,5,8,3,2,11.1,6,1,2,6,8,24,0.5,8,14,2,4,N
50,2,0,1,4,8,3,1,8.4,2,1,1,6,4,14,0.5,6,8,2,4,N
50,3,0,1,5,8,3,1,10.6,2,1,1,6,5,16,0.5,5.6,9,2,4,N
66.7,2,0,4,5,8,3,2,11.3,6,1,3,7,9,22,0.5,7.2,13,2,4,N
66.7,3,0,4,6,8,3,2,13.7,6,1,3,7,9,24,0.5,6.7,14,2,4,N
90.9,1,0,10,8,15,11,1,12,11,1,5,31,13,82,0.2,30.9,49,10,20,N
88.2,1,3,12,8,11,11,2,15.5,14,0.8,5,20,19,60,1,16.5,36,4,14,N
93.1,4,10,57,37,31,35,5,31.6,62,0.4,15,67,75,222,0.4,42.7,120,24,54,N
66.7,1,0,2,3,4,3,1,12.6,3,0.5,0,6,5,9,0.5,2,6,2,4,N
90,3,0,18,19,15,17,2,27.9,20,0.9,15,38,23,93,0.1,17,50,16,32,N
90,3,0,18,20,15,17,2,29.5,20,0.9,15,38,23,97,0.1,16.9,52,16,32,N
83.3,3,0,5,9,14,9,1,13.2,6,0.6,2,15,8,43,0.6,14.8,24,6,14,N
75,3,0,3,7,8,3,1,16,4,1,1,8,6,21,0.5,5.1,12,2,4,N
75,1,0,3,5,8,3,1,13.1,4,1,2,7,6,17,0.5,4.8,11,2,4,N
81.8,3,0,9,8,13,7,2,11.8,11,0.8,2,14,13,46,0.3,17.1,25,6,12,N
0,2,0,0,2,6,1,0,8,0,1,0,2,1,8,1,3,6,2,4,N
75,2,0,3,10,11,3,1,18.4,4,1,4,9,7,30,0.5,7.2,17,2,4,N
66.7,3,0,2,4,8,3,1,9.6,3,1,1,6,6,16,0.5,6,10,2,4,N
66.7,4,0,2,4,9,3,1,9.9,3,1,1,6,6,18,0.5,6.8,12,2,4,N
66.7,5,0,2,5,10,3,1,12.3,3,1,1,6,7,22,0.5,7,15,2,4,N
0,1,0,0,2,5,1,0,7.9,0,1,1,3,1,7,1,2.5,5,2,4,N
66.7,3,0,2,4,10,3,1,9.7,3,1,1,6,6,19,0.5,7.5,13,2,4,N
50,3,0,1,4,9,3,1,9.2,2,1,1,6,5,14,0.5,5.6,9,2,4,N
66.7,3,0,2,4,10,3,1,9.8,3,1,1,6,5,16,0.5,6.3,11,2,4,N
85.7,3,4,2,5,7,3,1,10.8,3,1,2,7,10,19,0.5,6.3,10,2,4,N
87.5,4,4,3,6,7,3,1,13.3,4,1,2,7,12,21,0.5,5.8,11,2,4,N
66.7,1,0,2,3,8,3,1,10.4,3,1,2,6,5,12,0.5,4,9,2,4,N
85.7,1,0,6,10,8,3,1,25.8,7,0.5,7,14,9,42,0.5,6.8,25,2,4,N
66.7,1,0,2,3,8,3,1,10.4,3,1,2,6,5,12,0.5,4,9,2,4,N
91.3,2,0,21,19,13,15,2,32.7,23,0.9,7,40,25,105,0.1,16.1,58,14,28,N
92.3,2,0,12,8,7,9,1,18.7,13,0.4,4,21,15,46,0.2,9.6,24,8,16,N
90.3,3,0,28,20,19,17,3,27.7,31,0.5,13,42,34,107,0.6,20.4,64,10,22,N
90.3,3,0,28,20,19,17,3,27.7,31,0.5,13,42,34,107,0.6,20.4,64,10,22,N
75,2,0,3,5,10,3,1,8.6,4,0.5,1,6,6,22,0.5,10,12,2,4,N
87.5,0,0,7,11,8,5,1,25.4,8,1,2,11,10,50,0.3,8.4,27,4,8,N
79.3,1,0,23,16,16,9,6,21.6,29,1,11,31,31,106,0.2,24.5,57,8,16,N
71.4,0,0,5,6,7,3,2,14.8,7,0.5,0,5,9,21,0.5,5.3,12,2,4,N
85.7,0,0,6,7,13,5,1,10.4,7,0.7,3,12,9,29,0.3,12.1,16,4,8,N
83.3,0,0,5,10,13,5,1,15.1,6,0.3,4,13,8,39,0.3,11.7,21,4,8,N
83.3,2,0,5,8,13,3,1,14.9,6,1,5,12,8,33,0.5,9.8,21,2,4,N
83.3,0,0,5,9,13,5,1,13.1,6,0.3,3,12,8,34,0.3,11.6,18,4,8,N
84.6,2,0,22,15,17,13,4,21.3,26,0.3,4,22,28,111,0.1,26.1,65,10,22,N
85,1,0,17,13,12,7,3,24,20,0.5,4,16,22,74,0.3,14.3,43,6,12,N
85,1,0,17,13,14,7,3,21.1,20,0.5,4,16,22,79,0.3,17.8,46,6,12,N
80,2,0,4,6,11,5,1,10.8,5,0.3,2,12,7,29,0.3,11,17,4,8,N
80,2,0,16,11,15,11,4,14.5,20,0.3,3,23,22,63,0.2,20.5,33,10,20,N
75,2,0,6,6,10,3,2,10.3,8,1,2,8,10,30,0.5,11.7,16,2,4,N
84.8,2,0,67,22,22,53,12,27.4,79,0.6,8,85,82,314,0.7,62.5,189,34,86,N
93.3,2,0,14,12,15,9,1,15.9,15,0.2,4,20,17,69,0.2,20.6,36,8,16,N
77.8,1,0,7,7,8,3,2,16,9,0.5,0,6,11,21,0.5,5.1,12,2,4,N
77.8,1,0,7,7,8,3,2,16,9,0.5,0,6,11,21,0.5,5.1,12,2,4,N
84.9,1,1,27,12,18,9,5,16.2,32,0.6,1,17,35,119,0.2,36,71,8,16,N
80,1,0,12,11,15,9,3,17.2,15,1,6,21,17,60,1,16.4,36,6,14,N
81.3,3,0,13,6,13,19,3,10,16,0.4,3,24,18,64,1,27.1,39,6,20,N
94.7,1,12,6,9,12,3,1,14,7,0.5,4,10,21,34,0.5,10.7,18,2,4,N
83.3,1,0,5,5,13,5,1,8.8,6,0.7,5,12,8,30,1,14.3,19,2,6,N
80,1,0,4,4,5,3,1,11,5,0.5,0,6,7,13,0.5,3.8,7,2,4,N
77.8,3,0,7,7,7,5,2,19.5,9,0.7,1,9,12,23,0.3,4.5,14,4,8,N
71.4,0,0,5,5,11,5,2,7.8,7,1,2,11,9,28,0.3,14.3,15,4,8,N
71.4,0,0,5,5,11,5,2,7.8,7,1,2,11,9,28,0.3,14.3,15,4,8,N
81.8,1,0,18,14,11,5,4,25.3,22,0.7,3,14,24,75,0.3,13.8,40,4,8,N
84.6,2,0,11,13,10,3,2,25,13,0.5,2,8,15,51,0.5,9.2,27,2,4,N
83.3,1,0,10,10,10,3,2,19.8,12,0.5,1,7,14,48,0.5,10.5,27,2,4,N
80,2,0,12,8,15,7,3,10.5,15,0.8,2,13,17,63,0.3,27.2,34,6,12,N
80,2,0,12,10,16,7,3,13.1,15,0.8,3,14,17,69,0.3,24.8,38,6,12,N
75,2,0,9,9,10,3,3,18.7,12,1,4,11,14,49,0.5,11.1,29,2,4,N
50,0,0,1,2,5,3,1,6,2,0.5,0,5,4,8,0.5,3.8,5,2,4,N
80,1,0,4,6,16,5,1,10,5,1,3,14,7,39,0.3,17.3,26,4,8,N
75,1,0,6,6,7,3,2,16.7,8,1,3,7,10,21,0.5,4.7,13,2,4,N
77.8,1,0,7,7,7,3,2,20,9,1,3,8,11,21,0.5,4,13,2,4,N
87.5,1,1,13,9,19,7,2,11.8,15,0.8,3,18,18,65,0.3,26.4,40,6,12,N
86.2,1,5,20,15,17,11,4,20.1,24,0.8,8,30,31,89,0.2,22.1,50,10,20,N
70,2,1,6,7,12,3,3,11.1,9,0.5,2,7,12,29,0.5,11.1,16,2,4,N
75,3,1,8,10,18,5,3,13.2,11,1,4,13,15,47,0.3,17.1,28,4,8,N
75,3,1,8,11,18,5,3,14.4,11,1,5,14,15,51,0.3,17.2,30,4,8,N
76.9,1,1,9,9,17,5,3,13.4,12,1,4,15,15,51,0.3,17.9,32,4,8,N
0,0,0,0,2,5,3,0,6,0,0.5,0,5,2,8,0.5,3.8,5,2,4,N
80,2,0,4,7,9,5,1,15.9,5,1,2,9,8,23,1,5.8,14,2,6,N
71.4,2,0,5,7,9,5,2,16.6,7,1,2,9,10,24,1,5.8,15,2,6,N
89.5,1,1,16,11,21,9,2,14,18,0.8,4,26,21,96,0.2,34.4,60,8,16,N
76.9,4,1,9,13,17,7,3,18.5,12,1,4,18,16,64,0.3,17,38,6,12,N
88.9,6,1,15,16,20,13,2,20.1,17,1,4,32,22,124,0.1,31.9,73,12,24,N
76.9,5,1,9,13,17,7,3,18.2,12,1,4,18,17,63,0.3,17,37,6,12,N
78.6,1,1,10,9,17,7,3,14.4,13,1,5,23,16,75,0.3,24.6,49,6,12,N
66.7,1,0,2,4,7,3,1,14.8,3,1,1,6,5,15,0.5,3.5,11,2,4,N
66.7,1,0,2,4,5,3,1,14,3,0.5,0,6,5,11,0.5,2.5,7,2,4,N
66.7,1,0,2,4,7,3,1,14.8,3,1,1,6,5,15,0.5,3.5,11,2,4,N
50,0,0,1,2,5,3,1,6,2,0.5,0,5,4,8,0.5,3.8,5,2,4,N
85.7,1,0,6,9,15,7,1,12.4,7,1,4,20,9,54,0.3,20,30,6,12,N
80,0,0,8,9,13,7,2,14.1,10,1,4,16,12,48,0.3,15.2,27,6,12,N
75,1,0,3,5,12,5,1,9.8,4,0.7,2,10,6,23,1,9.6,15,4,8,N
80,1,0,4,5,7,3,1,13.7,5,1,2,7,7,16,0.5,4.2,10,2,4,N
80,1,0,4,5,7,3,1,13.7,5,1,2,7,7,16,0.5,4.2,10,2,4,N
88.2,1,1,14,9,19,7,2,11.9,16,0.8,3,19,19,68,0.3,27.4,42,6,12,N
85.7,1,0,6,8,16,5,1,13.8,7,1,3,14,9,48,0.3,16,32,4,8,N
71.4,0,0,5,6,9,3,2,13,7,1,2,7,9,25,0.5,7.5,15,2,4,N
86.2,1,5,20,13,17,11,4,17.2,24,0.8,7,29,31,85,0.2,24.2,48,10,20,N
75,2,1,8,7,18,5,3,8.8,11,1,3,12,14,44,0.3,23.1,26,4,8,N
76.9,1,1,9,7,17,5,3,10.2,12,1,3,14,15,46,0.3,20.6,29,4,8,N
50,1,0,1,3,7,3,1,8.5,2,0.5,0,5,4,12,0.5,4.7,8,2,6,N
50,1,0,1,3,8,3,1,9.1,2,0.5,0,5,4,14,0.5,5.3,10,2,6,N
50,1,0,1,3,7,3,1,8.5,2,0.5,0,5,4,12,0.5,4.7,8,2,6,N
50,1,0,1,3,8,3,1,9.1,2,0.5,0,5,4,14,0.5,5.3,10,2,6,N
50,1,0,1,3,7,3,1,10,2,0.5,0,5,4,14,0.5,4.7,10,2,6,N
0,2,0,0,4,8,3,0,8.2,0,0.5,1,7,1,16,0.5,7,9,2,4,N
0,2,0,0,5,11,3,0,9.9,0,0.5,1,7,1,19,0.5,7.7,12,2,4,N
84.6,2,8,3,5,9,3,2,9.7,5,1,1,7,16,23,0.5,9,13,2,4,N
50,2,0,1,3,8,1,1,11.2,2,1,1,3,4,13,1,4,10,2,4,N
80,2,0,4,2,5,3,1,6.2,5,0.5,0,6,7,11,0.5,5,7,2,4,N
50,2,0,1,2,5,3,1,5.1,2,0.5,0,6,4,9,0.5,5,5,2,4,N
50,3,0,1,3,6,7,1,6.7,2,0.3,0,10,4,21,0.3,10,11,6,12,N
50,2,0,1,2,5,3,1,5.1,2,0.5,0,6,4,9,0.5,5,5,2,4,N
80,2,0,4,2,5,3,1,6.2,5,0.5,0,6,7,11,0.5,5,7,2,4,N
50,3,0,1,3,6,7,1,6.7,2,0.3,0,10,4,21,0.3,10,11,6,12,N
50,2,0,1,2,9,3,1,4,2,0.5,0,6,4,18,0.5,15.8,11,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,5,8,1,3,6,2,4,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
50,2,0,1,2,9,5,1,5.9,2,0.3,0,6,4,23,0.3,13.5,17,2,8,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
83.3,2,4,1,3,8,1,1,11.2,2,1,1,3,8,13,1,4,10,2,4,N
50,2,0,1,2,6,3,1,7,2,0.5,0,5,4,14,0.5,6,10,2,6,N
50,2,0,1,2,6,1,1,8,2,1,0,2,4,8,1,3,6,2,4,N
0,1,0,0,3,8,3,0,7.8,0,1,1,6,2,12,0.5,5.3,8,2,4,N
80,2,0,12,8,15,7,3,10.5,15,0.8,2,13,17,63,0.3,27.2,34,6,12,N
80,2,0,12,10,16,7,3,13.1,15,0.8,3,14,17,69,0.3,24.8,38,6,12,N
80,1,0,4,5,8,3,1,12.3,5,1,2,7,7,16,0.5,4.8,10,2,4,N
80,2,0,4,6,8,3,1,13.9,5,1,2,7,7,17,0.5,4.7,10,2,4,N
66.7,0,0,2,3,8,3,1,6.2,3,1,2,8,5,19,0.5,10.7,11,2,4,N
80,1,0,4,5,8,3,1,12.3,5,1,2,7,7,16,0.5,4.8,10,2,4,N
80,2,0,4,6,8,3,1,13.9,5,1,2,7,7,17,0.5,4.7,10,2,4,N
66.7,0,0,2,3,8,3,1,6.2,3,1,2,8,5,19,0.5,10.7,11,2,4,N
80,2,0,4,7,9,5,1,15.9,5,1,3,9,7,23,1,5.8,14,2,6,N
80,3,0,4,8,9,5,1,17.4,5,1,3,9,8,24,1,5.6,14,2,6,N
75,0,0,3,6,8,5,1,13.5,4,1,4,15,6,33,0.3,9.3,19,4,8,N
80,1,0,4,5,8,3,1,12.3,5,1,2,7,7,16,0.5,4.8,10,2,4,N
80,2,0,4,6,8,3,1,13.9,5,1,2,7,7,17,0.5,4.7,10,2,4,N
66.7,0,0,2,3,8,3,1,6.2,3,1,2,8,5,19,0.5,10.7,11,2,4,N
80,1,0,4,5,8,3,1,12.3,5,1,2,7,7,16,0.5,4.8,10,2,4,N
80,2,0,4,6,8,3,1,13.9,5,1,2,7,7,17,0.5,4.7,10,2,4,N
66.7,0,0,2,3,8,3,1,6.2,3,1,2,8,5,19,0.5,10.7,11,2,4,N
80,1,0,4,5,8,3,1,12.3,5,1,2,7,7,16,0.5,4.8,10,2,4,N
80,2,0,4,6,8,3,1,13.9,5,1,2,7,7,17,0.5,4.7,10,2,4,N
66.7,0,0,2,3,8,3,1,6.2,3,1,2,8,5,19,0.5,10.7,11,2,4,N
50,0,0,1,1,6,1,1,6.6,2,1,1,3,4,7,1,3,6,2,4,N
90.9,1,2,18,15,17,12,2,27.8,20,0.9,9,22,24,63,0.6,11.3,43,6,12,N
50,0,0,1,2,5,3,1,6,2,0.5,0,5,4,8,0.5,3.8,5,2,4,N
80,1,0,4,6,16,5,1,10,5,1,3,14,7,39,0.3,17.3,26,4,8,N
75,1,0,6,6,7,3,2,16.7,8,1,3,7,10,21,0.5,4.7,13,2,4,N
77.8,1,0,7,7,7,3,2,20,9,1,3,8,11,21,0.5,4,13,2,4,N
87.5,1,1,13,9,19,7,2,11.8,15,0.8,3,18,18,65,0.3,26.4,40,6,12,N
86.2,1,5,20,15,17,11,4,20.1,24,0.8,8,30,31,89,0.2,22.1,50,10,20,N
70,2,1,6,7,12,3,3,11.1,9,0.5,2,7,12,29,0.5,11.1,16,2,4,N
75,3,1,8,10,18,5,3,13.2,11,1,4,13,15,47,0.3,17.1,28,4,8,N
75,3,1,8,11,18,5,3,14.4,11,1,5,14,15,51,0.3,17.2,30,4,8,N
76.9,1,1,9,9,17,5,3,13.4,12,1,4,15,15,51,0.3,17.9,32,4,8,N
0,0,0,0,2,5,3,0,6,0,0.5,0,5,2,8,0.5,3.8,5,2,4,N
80,2,0,4,7,9,5,1,15.9,5,1,2,9,8,23,1,5.8,14,2,6,N
71.4,2,0,5,7,9,5,2,16.6,7,1,2,9,10,24,1,5.8,15,2,6,N
89.5,1,1,16,11,21,9,2,14,18,0.8,4,26,21,96,0.2,34.4,60,8,16,N
76.9,4,1,9,13,17,7,3,18.5,12,1,4,18,16,64,0.3,17,38,6,12,N
88.9,6,1,15,16,20,13,2,20.1,17,1,4,32,22,124,0.1,31.9,73,12,24,N
76.9,5,1,9,13,17,7,3,18.2,12,1,4,18,17,63,0.3,17,37,6,12,N
78.6,1,1,10,9,17,7,3,14.4,13,1,5,23,16,75,0.3,24.6,49,6,12,N
50,0,0,1,2,5,3,1,6,2,0.5,0,5,4,8,0.5,3.8,5,2,4,N
85.7,1,0,6,9,15,7,1,12.4,7,1,4,20,9,54,0.3,20,30,6,12,N
80,0,0,8,9,13,7,2,14.1,10,1,4,16,12,48,0.3,15.2,27,6,12,N
75,1,0,3,5,12,5,1,9.8,4,0.7,2,10,6,23,1,9.6,15,4,8,N
80,1,0,4,5,7,3,1,13.7,5,1,2,7,7,16,0.5,4.2,10,2,4,N
80,1,0,4,5,7,3,1,13.7,5,1,2,7,7,16,0.5,4.2,10,2,4,N
88.2,1,1,14,9,19,7,2,11.9,16,0.8,3,19,19,68,0.3,27.4,42,6,12,N
85.7,1,0,6,8,16,5,1,13.8,7,1,3,14,9,48,0.3,16,32,4,8,N
71.4,0,0,5,6,9,3,2,13,7,1,2,7,9,25,0.5,7.5,15,2,4,N
86.2,1,5,20,13,17,11,4,17.2,24,0.8,7,29,31,85,0.2,24.2,48,10,20,N
75,2,1,8,7,18,5,3,8.8,11,1,3,12,14,44,0.3,23.1,26,4,8,N
76.9,1,1,9,7,17,5,3,10.2,12,1,3,14,15,46,0.3,20.6,29,4,8,N
90,1,5,4,4,7,3,1,11.9,5,0.5,1,7,12,15,0.5,4.4,10,2,4,N
95.8,0,48,21,14,14,7,3,26.2,24,1,4,13,74,68,0.2,12.5,43,2,4,N
89.7,1,16,36,17,22,17,6,28.4,42,0.9,5,25,60,160,0.1,29.8,114,10,20,N
97.8,1,65,155,58,46,78,5,56.5,160,0.9,24,107,227,699,0,82.9,490,52,104,N
92.1,1,44,26,15,18,11,6,25.2,32,0.9,5,21,78,87,0.1,17.4,58,6,12,N
81.8,0,4,5,5,12,3,2,8.5,7,0.5,0,6,13,25,0.5,12,15,2,4,N
85.7,0,2,4,4,8,3,1,13.4,5,0.5,1,7,9,15,0.5,4,11,2,4,N
94.1,0,31,17,17,10,3,3,64.2,20,1,8,17,53,131,0.5,9.7,98,2,4,N
90.9,0,7,3,5,8,3,1,13.1,4,1,2,6,13,17,0.5,4.8,11,2,4,N
94.3,0,26,7,14,13,3,2,22.5,9,0.5,1,7,37,77,0.5,16.3,42,2,4,N
92.3,0,19,5,8,8,3,2,19.6,7,1,3,7,28,27,0.5,5.5,16,2,4,N
83.3,0,6,4,4,6,3,2,12.4,6,1,1,5,14,14,0.5,3.8,9,2,4,N
83.3,0,6,4,4,6,3,2,12.4,6,1,1,5,14,14,0.5,3.8,9,2,4,N
88.9,1,25,7,7,9,5,4,16,11,0.3,0,9,38,36,0.3,9,22,4,8,N
94.4,1,55,13,15,8,7,4,42,17,1,9,18,74,52,0.3,5.6,31,6,12,N
94.1,1,56,23,17,13,5,5,29.8,28,1,3,14,86,116,0.3,19.1,66,4,8,N
92.6,2,16,9,15,13,3,2,24,11,0.5,2,8,29,52,0.5,10.4,28,2,4,N
81.8,0,6,3,5,9,3,2,10,5,0.5,0,6,13,26,0.5,9.9,15,2,4,N
98.3,0,40,16,12,9,3,1,26.2,17,0.5,4,10,59,132,0.5,22.1,73,2,4,N
84.6,0,7,4,4,6,3,2,12.4,6,1,1,5,15,14,0.5,3.8,9,2,4,N
92,1,18,5,7,7,3,2,16.8,7,0.5,0,7,27,33,0.5,7.5,18,2,4,N
88.7,3,38,17,12,14,9,7,17.3,24,0.6,2,18,64,75,0.2,20.4,40,8,16,N
94.4,2,12,5,5,10,7,1,10.7,6,0.3,1,12,20,41,0.3,15,26,6,12,N
92.9,1,4,9,4,8,5,1,8.2,10,0.3,0,9,16,25,0.3,11,14,4,8,N
90.9,0,4,6,5,8,5,1,13.2,7,0.7,2,9,13,20,1,5.6,13,2,6,N
92.1,0,27,8,6,14,5,3,9,11,0.3,0,8,40,39,0.3,18.7,23,4,8,N
81.3,1,6,7,7,11,5,3,12.4,10,0.3,0,8,18,28,1,9.4,16,4,8,N
95.7,0,91,44,25,22,20,6,35.3,50,0.8,8,34,143,151,0.1,23.8,97,12,24,N
77.8,1,7,7,8,13,7,4,14.3,11,0.3,1,11,20,45,0.3,13.8,28,6,12,N
96.2,1,40,10,14,11,3,2,33.1,12,1,3,8,54,56,0.5,7.9,36,2,4,N
95.1,0,40,18,13,14,7,3,24.2,21,1,3,12,63,63,0.2,12.4,40,2,4,N
90.1,0,57,16,13,8,11,8,36.6,24,0.8,5,19,83,59,0.2,7.1,36,10,20,N
89.4,1,26,16,15,20,11,5,20.5,21,0.3,1,19,49,72,1,18,45,10,20,N
92.6,0,21,4,8,10,3,2,14.2,6,0.5,1,7,29,32,0.5,9.4,17,2,4,N
84.6,0,8,3,6,11,3,2,11,5,0.5,0,6,15,32,0.5,11.9,19,2,4,N
89.5,1,20,14,13,11,5,4,23.6,18,1,5,13,40,50,0.3,9.7,27,4,8,N
91.3,2,29,13,9,13,7,4,15.6,17,0.3,0,13,48,91,0.3,26,55,6,12,N
83.3,0,8,7,6,6,5,3,19.1,10,1,2,8,20,24,0.3,4.5,15,4,8,N
84.6,0,7,4,4,6,3,2,12.4,6,1,1,5,15,14,0.5,3.8,9,2,4,N
91.7,1,7,4,5,7,3,1,12.8,5,1,2,6,14,15,0.5,4.2,9,2,4,N
90.5,1,21,17,12,16,9,4,16.8,21,0.4,2,17,44,72,0.2,20.7,41,8,16,N
86.7,0,9,4,7,8,3,2,14.2,6,1,2,8,17,25,0.5,6.9,13,2,4,N
94.1,1,19,13,9,16,13,2,14.8,15,0.3,1,10,36,71,0.1,22.2,46,2,14,N
89.2,1,25,8,8,9,5,4,18.2,12,0.3,0,9,39,40,0.3,9,24,4,8,N
91.9,1,23,11,8,11,5,3,16.6,14,0.7,2,11,39,35,0.3,8.9,22,4,8,N
95.1,0,40,18,13,14,7,3,24.2,21,1,3,12,63,63,0.2,12.4,40,2,4,N
96,1,19,29,20,18,12,2,35.8,31,0.9,3,16,53,92,0.1,13.5,62,2,4,N
91.7,2,26,7,9,11,5,3,20,10,0.3,1,8,39,34,1,7.3,22,2,6,N
91.7,1,36,19,17,21,13,5,22.5,24,0.3,1,22,63,82,1,19.2,51,12,24,N
88.9,0,12,4,7,8,3,2,14.3,6,0.5,1,7,20,23,0.5,6.3,12,2,4,N
93.3,0,10,4,7,8,3,1,13.1,5,0.5,1,7,17,23,0.5,6.9,11,2,4,N
93.8,0,24,6,11,11,3,2,18.7,8,1,1,8,34,63,0.5,15,33,2,4,N
90.7,0,26,13,13,15,7,4,19.6,17,0.8,4,14,45,66,0.3,16.1,38,6,12,N
95.6,0,17,26,11,11,3,2,23.3,28,0.5,0,7,47,266,0.5,51,164,2,4,N
95.9,0,35,12,10,13,3,2,16,14,1,1,8,51,108,0.5,30.6,61,2,4,N
85.7,0,8,4,7,9,3,2,13,6,0.5,1,7,16,25,0.5,7.7,13,2,4,N
88.9,0,4,4,3,4,3,1,14,5,1,3,7,11,10,0.5,2,7,2,4,N
90.2,0,30,16,12,14,11,5,16.8,21,0.3,1,19,53,75,0.2,21,39,10,20,N
81.8,0,4,5,5,7,3,2,11.3,7,0.5,0,7,13,31,0.5,9.8,17,2,4,N
94.6,0,43,9,6,10,7,3,16.8,12,0.5,3,13,57,35,0.3,8.3,25,6,12,N
90.2,0,32,14,13,15,11,5,23.8,19,0.7,4,18,53,60,0.7,12.1,39,8,18,N
96.2,0,14,11,5,9,9,1,12.7,12,0.2,0,15,28,48,0.2,14.4,32,8,16,N
92.9,0,17,9,8,10,7,2,15.9,11,0.3,0,12,30,38,0.3,10,22,6,12,N
88.5,1,17,6,6,13,9,3,10.9,9,0.2,0,11,28,50,0.2,19.5,32,6,14,N
90,1,3,6,6,7,3,1,14.3,7,0.5,0,6,12,18,0.5,4.7,10,2,4,N
92.3,0,34,14,14,9,7,4,37.5,18,1,5,16,54,48,0.3,5.8,30,6,12,N
81.8,1,4,5,4,6,3,2,14.8,7,1,1,6,13,20,0.5,4.5,14,2,4,N
81.8,1,4,5,5,6,3,2,18.3,7,1,2,7,13,19,0.5,3.6,13,2,4,N
94.7,0,45,26,20,20,10,4,31.6,30,1,5,18,77,86,0.4,14.5,57,2,6,N
